Jan 9, 2014|Thursday|56|23|20|13|14|57|127|195|286|309|297|320|384|418|530|713|974|989|799|509|382|328|226|101|8070|407|West
Jan 10, 2014|Friday|53|24|15|15|11|56|130|209|294|291|307|388|411|474|563|790|1002|960|666|430|375|290|311|167|8232|407|West
Jan 11, 2014|Saturday|116|40|35|21|24|32|50|94|149|247|345|430|466|575|580|565|578|499|473|313|313|305|268|170|6688|407|West
Jan 12, 2014|Sunday|123|90|27|21|9|22|35|69|121|155|279|376|439|473|501|545|530|447|374|299|209|178|112|61|5495|407|West
Jan 13, 2014|Monday|32|14|9|6|9|62|126|201|295|301|320|347|377|406|506|714|950|1090|748|417|352|317|142|72|7813|407|West
Jan 14, 2014|Tuesday|47|23|14|10|12|54|93|165|204|260|270|305|280|348|444|704|866|1008|719|453|334|306|219|86|7224|407|West
Jan 15, 2014|Wednesday|42|30|17|14|21|46|126|196|280|339|307|345|390|466|519|715|833|907|803|557|346|286|202|77|7864|407|West
Jan 16, 2014|Thursday|40|27|17|9|20|62|138|184|231|314|276|323|370|391|493|727|861|992|686|462|398|345|220|111|7697|407|West
Jan 17, 2014|Friday|59|22|16|18|13|64|135|209|294|288|274|369|433|545|587|787|861|942|624|390|340|324|243|198|8035|407|West
Jan 18, 2014|Saturday|99|43|19|16|18|20|48|87|137|223|278|337|426|482|544|505|536|496|434|298|298|309|279|171|6103|407|West
Jan 19, 2014|Sunday|93|47|33|18|13|26|36|64|100|193|254|387|427|569|496|487|415|433|335|301|222|194|140|76|5359|407|West
Jan 20, 2014|Monday|34|18|16|5|15|59|127|201|250|271|273|332|394|421|500|646|781|949|584|425|309|232|140|73|7055|407|West
Jan 21, 2014|Tuesday|40|16|11|7|10|64|118|218|260|296|277|324|360|398|490|690|880|1073|715|406|349|271|173|84|7530|407|West
Jan 22, 2014|Wednesday|37|28|16|14|22|54|113|186|244|299|300|333|382|421|491|668|880|1040|760|458|382|298|188|111|7725|407|West
Jan 23, 2014|Thursday|45|25|11|10|11|57|128|179|239|234|249|322|330|389|518|637|814|981|700|462|363|320|223|83|7330|407|West
Jan 24, 2014|Friday|40|30|17|10|18|65|154|219|280|271|308|404|426|510|585|745|775|818|673|412|258|254|248|131|7651|407|West
* Jan 25,|2014|Saturday|81|51|35|19|14|23|53|83|144|231|304|376|448|492|519|557|515|502|442|316|255|263|247|154|6124|407|West
Jan 26, 2014|Sunday|85|27|19|4|2|21|32|52|89|145|202|292|369|380|379|441|409|382|282|225|166|126|83|44|4256|407|West
Jan 27, 2014|Monday|25|14|9|6|14|62|99|165|214|197|216|266|288|312|363|590|771|964|681|384|276|194|118|71|6299|407|West
Jan 28, 2014|Tuesday|35|13|12|8|8|47|125|155|211|242|255|263|307|403|463|628|825|1038|688|488|344|259|162|78|7057|407|West
Jan 29, 2014|Wednesday|35|17|10|17|12|57|134|222|296|297|268|327|368|407|579|708|873|1073|784|510|409|310|180|106|7999|407|West
Jan 30, 2014|Thursday|46|25|24|12|14|43|103|133|186|223|212|201|242|326|392|553|800|911|633|469|392|320|193|91|6544|407|West
Jan 31, 2014|Friday|53|25|20|17|19|62|115|190|261|318|298|378|431|478|573|718|906|932|724|442|361|336|342|194|8193|407|West
Feb 1, 2014|Saturday|44|27|16|20|27|59|122|239|368|478|534|576|540|482|476|411|504|408|334|229|181|143|117|82|6417|407|East
Feb 2, 2014|Sunday|47|37|7|17|15|31|52|110|225|328|411|413|450|426|388|354|373|279|124|120|163|320|98|41|4829|407|East
Feb 3, 2014|Monday|15|11|19|15|54|245|684|1196|962|511|421|422|413|381|410|360|365|291|253|144|110|77|65|50|7474|407|East
Feb 4, 2014|Tuesday|13|6|4|25|57|281|728|1214|930|549|410|401|404|398|398|377|372|339|268|168|115|130|93|45|7725|407|East
Feb 5, 2014|Wednesday|16|7|8|20|57|262|742|1197|888|562|405|416|380|402|387|380|406|365|254|167|129|125|95|68|7738|407|East
Feb 6, 2014|Thursday|14|9|12|21|59|258|708|1106|875|550|475|440|402|404|377|369|368|358|307|175|130|106|71|60|7654|407|East
Feb 7, 2014|Friday|23|10|10|23|61|232|666|1085|861|559|505|443|434|421|388|390|432|387|343|234|158|145|119|56|7985|407|East
Feb 8, 2014|Saturday|44|19|16|13|34|63|145|244|375|521|516|554|483|499|468|472|465|398|366|250|175|155|156|98|6529|407|East
Feb 9, 2014|Sunday|53|33|17|7|20|35|69|121|222|316|453|524|502|412|403|369|368|311|261|148|126|105|84|18|4977|407|East
Feb 10, 2014|Monday|19|7|6|21|66|241|718|1199|889|543|409|381|408|353|370|317|365|322|250|156|114|80|58|45|7337|407|East
Feb 11, 2014|Tuesday|11|9|7|22|58|280|730|1208|878|549|391|431|357|413|368|353|377|360|251|169|145|117|63|53|7600|407|East
Feb 12, 2014|Wednesday|12|6|8|31|64|276|755|1178|882|554|454|442|399|414|386|377|403|387|311|193|138|121|68|51|7910|407|East
Feb 13, 2014|Thursday|13|12|7|24|71|261|768|1149|898|503|374|432|402|392|377|397|428|373|288|176|128|105|77|67|7722|407|East
Feb 14, 2014|Friday|21|13|18|20|72|234|658|989|832|550|490|533|479|455|428|443|425|425|334|236|176|154|116|74|8175|407|East
Feb 15, 2014|Saturday|33|27|6|13|31|58|130|251|349|464|493|516|441|407|348|370|378|391|318|208|151|160|147|80|5770|407|East
Feb 16, 2014|Sunday|36|27|13|7|20|28|78|109|208|308|453|524|484|478|462|388|421|353|261|168|142|123|79|37|5207|407|East
Feb 17, 2014|Monday|16|9|16|20|65|263|539|654|492|414|332|295|300|320|310|327|333|252|212|149|133|89|88|41|5669|407|East
Feb 18, 2014|Tuesday|13|14|9|25|65|263|764|1244|887|579|436|420|421|392|375|399|408|361|280|159|142|125|65|63|7909|407|East
Feb 19, 2014|Wednesday|9|7|10|25|60|269|797|1237|894|576|430|444|373|420|440|368|462|405|310|213|126|130|73|71|8149|407|East
Feb 20, 2014|Thursday|27|10|13|20|68|272|745|1139|808|505|418|391|355|297|330|248|184|148|108|96|97|84|52|48|6463|407|East
Feb 21, 2014|Friday|37|27|20|28|70|207|425|546|437|420|295|280|255|304|310|303|254|201|175|110|93|78|59|43|4977|407|East
Feb 22, 2014|Saturday|34|29|13|23|30|70|126|250|356|390|436|479|460|409|359|389|335|330|315|170|118|107|132|77|5437|407|East
Feb 23, 2014|Sunday|49|28|12|13|19|42|80|127|202|268|409|446|445|433|386|364|354|314|204|152|101|81|62|25|4616|407|East
Feb 24, 2014|Monday|6|15|9|17|72|275|772|1158|1000|562|424|428|421|370|339|389|378|339|258|150|101|68|60|39|7650|407|East
Feb 25, 2014|Tuesday|10|9|7|21|71|267|768|1190|972|556|419|404|417|417|364|348|355|373|328|164|146|136|70|42|7854|407|East
Feb 26, 2014|Wednesday|14|12|7|35|59|268|776|1283|908|559|410|418|407|392|354|368|397|360|281|149|146|108|74|37|7822|407|East
Feb 27, 2014|Thursday|11|7|14|19|73|272|746|1201|880|571|459|455|368|391|368|369|377|399|313|169|127|123|76|51|7839|407|East
Feb 28, 2014|Friday|12|10|10|21|77|263|706|1136|838|577|506|478|432|411|433|386|387|425|389|239|162|120|96|52|8166|407|East
Feb 1, 2014|Saturday|94|45|29|19|21|33|68|100|186|262|322|421|487|546|522|558|582|503|451|326|264|302|260|194|6595|407|West
Feb 2, 2014|Sunday|104|64|36|15|11|23|25|50|100|153|267|352|412|449|505|481|563|436|209|197|182|264|148|64|5110|407|West
Feb 3, 2014|Monday|26|16|9|11|16|56|135|201|276|347|277|308|357|410|524|677|948|1065|670|452|360|281|145|61|7628|407|West
Feb 4, 2014|Tuesday|45|17|14|7|5|65|134|216|292|268|299|293|390|447|470|727|883|1043|738|458|390|290|215|79|7785|407|West
Feb 5, 2014|Wednesday|46|19|12|7|15|66|134|239|300|295|292|309|373|451|485|740|889|1021|781|464|401|290|173|93|7895|407|West
Feb 6, 2014|Thursday|35|20|14|13|11|58|136|201|253|291|286|303|364|448|472|715|895|956|741|456|425|328|241|88|7750|407|West
Feb 7, 2014|Friday|51|20|11|8|14|76|128|232|263|298|332|335|395|492|565|802|876|1033|716|445|346|301|226|161|8126|407|West
Feb 8, 2014|Saturday|90|42|33|18|12|27|41|100|169|229|333|424|527|542|579|503|607|538|454|355|295|319|294|175|6706|407|West
Feb 9, 2014|Sunday|95|58|40|18|8|15|42|56|102|158|260|338|403|491|525|496|483|448|383|310|233|154|81|58|5255|407|West
Feb 10, 2014|Monday|50|21|10|9|8|61|132|212|281|287|273|271|351|411|426|724|860|1088|715|405|329|278|141|60|7403|407|West
Feb 11, 2014|Tuesday|30|17|6|6|6|53|130|206|298|294|304|309|339|407|501|691|909|1034|753|459|362|316|182|66|7678|407|West
Feb 12, 2014|Wednesday|33|16|15|9|14|60|136|215|318|314|303|343|382|470|479|732|877|1055|709|485|420|343|182|89|7999|407|West
Feb 13, 2014|Thursday|42|19|13|11|16|66|159|218|285|327|270|339|406|426|480|712|877|1006|698|536|432|374|169|97|7978|407|West
Feb 14, 2014|Friday|48|18|14|15|19|59|163|239|297|273|302|372|462|514|609|802|934|996|666|402|308|300|258|176|8246|407|West
Feb 15, 2014|Saturday|77|39|33|16|17|23|55|87|150|231|316|411|435|408|407|468|444|511|456|314|230|261|239|128|5756|407|West
Feb 16, 2014|Sunday|99|40|20|21|18|18|30|63|122|175|294|310|472|467|488|518|483|426|382|313|243|165|101|61|5329|407|West
Feb 17, 2014|Monday|33|13|9|12|12|58|98|158|189|168|168|205|223|326|383|557|694|793|499|372|293|246|116|74|5699|407|West
Feb 18, 2014|Tuesday|32|22|12|12|11|54|140|192|276|323|297|326|383|428|466|718|924|1097|713|502|384|339|193|71|7915|407|West
Feb 19, 2014|Wednesday|29|17|7|7|11|60|141|234|286|297|309|334|417|460|496|751|912|1021|786|488|402|351|242|98|8156|407|West
Feb 20, 2014|Thursday|46|26|14|15|12|60|137|231|274|293|279|342|384|443|603|775|684|568|296|196|115|94|84|32|6003|407|West
Feb 21, 2014|Friday|16|8|2|5|9|30|70|96|109|88|171|184|223|259|344|473|585|578|458|328|249|230|168|125|4808|407|West
Feb 22, 2014|Saturday|48|34|17|7|7|16|48|61|120|177|246|344|348|380|456|476|432|383|372|288|212|207|236|147|5062|407|West
Feb 23, 2014|Sunday|83|48|20|14|5|16|24|35|90|135|212|272|376|438|416|419|427|368|366|275|215|147|99|79|4579|407|West
Feb 24, 2014|Monday|34|15|8|11|11|55|115|191|232|304|301|299|343|383|482|670|829|1027|738|401|335|258|151|88|7281|407|West
Feb 25, 2014|Tuesday|28|19|6|9|13|54|123|187|261|286|289|315|354|394|516|692|853|948|726|493|387|315|161|71|7500|407|West
Feb 26, 2014|Wednesday|26|20|8|11|14|46|135|192|286|272|295|320|378|414|463|657|887|986|767|481|362|295|176|89|7580|407|West
Feb 27, 2014|Thursday|42|27|13|11|10|48|126|201|243|282|277|317|345|408|488|719|832|969|703|517|403|397|213|85|7676|407|West
Feb 28, 2014|Friday|57|25|14|12|11|55|138|213|270|285|292|335|410|468|522|746|917|957|652|436|343|358|260|170|7946|407|West
Mar 1, 2014|Saturday|30|31|11|19|33|51|134|242|417|511|540|564|497|489|468|438|434|344|332|218|167|141|116|52|6279|407|East
Mar 2, 2014|Sunday|50|22|6|12|23|41|59|112|218|315|438|490|485|433|405|377|316|280|210|115|101|79|69|36|4692|407|East
Mar 3, 2014|Monday|15|9|16|18|64|255|713|1256|930|518|406|379|387|370|335|355|360|335|280|133|112|65|51|38|7400|407|East
Mar 4, 2014|Tuesday|4|8|5|22|76|260|757|1253|919|551|435|445|378|407|375|345|388|389|296|163|115|105|50|41|7787|407|East
Mar 5, 2014|Wednesday|9|6|8|17|64|274|785|1254|887|582|434|450|404|391|370|416|427|396|257|159|118|102|56|47|7913|407|East
Mar 6, 2014|Thursday|13|8|9|26|67|263|803|1211|914|608|469|458|410|366|384|402|405|403|289|185|133|100|84|49|8059|407|East
Mar 7, 2014|Friday|16|11|10|18|63|246|697|1164|905|565|452|445|419|403|374|388|389|402|351|201|125|120|100|59|7923|407|East
Mar 8, 2014|Saturday|31|19|12|9|26|53|136|278|426|513|539|506|481|487|441|431|436|350|358|216|144|148|143|68|6251|407|East
Mar 9, 2014|Sunday|53|28|17|17|40|56|93|203|264|420|448|500|459|414|410|369|339|265|171|134|120|55|23|12|4910|407|East
Mar 10, 2014|Monday|0|12|9|11|60|263|711|1136|945|563|438|449|394|373|398|334|398|346|301|184|144|93|59|28|7649|407|East
Mar 11, 2014|Tuesday|10|5|5|22|65|285|719|1194|940|589|451|411|423|368|397|354|425|378|300|189|182|114|64|42|7932|407|East
Mar 12, 2014|Wednesday|14|14|16|21|66|279|754|1229|932|557|502|444|421|412|400|385|454|402|321|201|142|106|66|43|8181|407|East
Mar 13, 2014|Thursday|15|9|10|21|68|291|707|1179|953|588|499|444|436|411|408|430|447|381|297|193|149|138|81|46|8201|407|East
Mar 14, 2014|Friday|14|9|14|30|53|256|667|1119|895|589|501|483|446|462|379|431|441|388|348|238|173|131|109|46|8222|407|East
Mar 15, 2014|Saturday|28|17|13|20|35|64|118|273|360|490|556|601|545|506|443|438|397|404|346|247|159|176|128|79|6443|407|East
Mar 16, 2014|Sunday|51|32|9|20|12|33|67|128|213|310|427|483|467|441|464|414|316|281|224|183|138|84|58|27|4882|407|East
Mar 17, 2014|Monday|8|10|9|23|72|269|663|1100|792|536|405|340|397|363|329|349|364|333|231|165|114|89|70|41|7072|407|East
Mar 18, 2014|Tuesday|17|7|11|21|63|276|684|1056|851|524|393|391|407|380|323|352|391|340|250|185|108|116|70|62|7278|407|East
Mar 19, 2014|Wednesday|15|20|15|39|79|274|723|1058|785|552|442|448|367|376|340|355|387|343|245|162|136|116|73|50|7400|407|East
Mar 20, 2014|Thursday|11|13|12|27|66|268|705|1074|867|577|548|481|422|444|394|399|417|393|307|182|174|128|74|40|8023|407|East
Mar 21, 2014|Friday|19|12|7|21|79|252|659|1019|828|543|466|494|487|450|411|424|425|349|340|196|163|122|95|55|7916|407|East
Mar 22, 2014|Saturday|33|28|18|16|35|66|130|251|370|459|539|537|476|467|453|399|412|327|315|215|170|147|123|71|6057|407|East
Mar 23, 2014|Sunday|47|24|17|8|13|30|63|91|227|303|404|481|497|449|409|382|335|317|199|158|121|110|73|24|4782|407|East
Mar 24, 2014|Monday|6|10|9|19|70|272|743|1136|839|585|408|389|378|381|363|330|364|335|245|162|122|73|59|48|7346|407|East
Mar 25, 2014|Tuesday|12|12|7|19|73|282|725|1161|871|581|452|450|430|400|381|371|388|341|258|185|128|126|66|51|7770|407|East
Mar 26, 2014|Wednesday|13|8|4|23|68|268|731|1122|862|565|465|414|413|426|381|379|389|365|310|173|146|98|73|51|7747|407|East
Mar 27, 2014|Thursday|16|9|7|25|65|286|680|1124|881|520|459|432|423|404|364|384|358|293|249|169|146|102|83|43|7522|407|East
Mar 28, 2014|Friday|15|12|13|23|61|252|664|1062|825|637|450|489|427|434|409|419|453|433|353|249|159|145|94|71|8149|407|East
Mar 29, 2014|Saturday|32|20|13|21|31|66|133|262|418|524|580|585|542|526|478|464|413|370|308|227|178|142|148|75|6556|407|East
Mar 30, 2014|Sunday|56|15|8|16|10|43|66|117|232|352|468|522|546|476|495|408|415|306|226|185|126|96|59|28|5271|407|East
Mar 31, 2014|Monday|12|9|9|18|75|279|698|1184|876|566|463|454|410|440|359|370|377|352|258|161|120|65|58|36|7649|407|East
Mar 1, 2014|Saturday|78|49|25|20|18|23|52|102|173|242|330|441|443|501|523|521|465|473|427|360|289|301|227|135|6218|407|West
