DATE,DAY,1 am,2 am,3 am,4 am,5 am,6 am,7 am,8 am,9 am,10 am,11 am,Noon,1 pm,2 pm,3 pm,4 pm,5 pm,6 pm,7 pm,8 pm,9 pm,10 pm,11 pm,12 mid,TOTAL,Station number,Estimated,Direction,STATION,COUNTY,RETIRED
"Jan 1, 2009",Thursday,320,301,252,134,68,55,80,140,175,244,390,491,611,654,682,721,787,536,502,392,317,271,226,209,8558,389,False,North,389,Ramsey,False
"Jan 2, 2009",Friday,103,58,55,46,79,131,340,611,632,723,897,1157,1230,1343,1441,1686,1675,1401,983,672,512,743,483,295,17296,389,False,North,389,Ramsey,False
"Jan 3, 2009",Saturday,211,146,124,65,43,80,118,218,293,503,722,855,901,1296,1011,974,708,643,466,405,340,345,712,234,11413,389,False,North,389,Ramsey,False
"Jan 4, 2009",Sunday,154,136,123,63,62,62,100,186,198,297,428,563,789,804,815,760,612,554,501,686,408,285,232,149,8967,389,False,North,389,Ramsey,False
"Jan 5, 2009",Monday,97,60,46,41,86,242,583,1067,990,838,898,1101,1176,1147,1577,2230,2377,2127,1220,757,572,498,340,282,20352,389,False,North,389,Ramsey,False
"Jan 6, 2009",Tuesday,161,77,86,50,107,233,650,1085,984,901,917,1131,1225,1292,1607,2279,2511,2046,1396,847,585,526,338,266,21300,389,False,North,389,Ramsey,False
"Jan 7, 2009",Wednesday,177,114,120,57,101,234,608,1093,1023,865,897,1063,1184,1307,1564,2256,2442,2015,1308,863,692,617,356,307,21263,389,False,North,389,Ramsey,False
"Jan 8, 2009",Thursday,170,87,103,63,113,240,612,1118,1059,890,942,1199,1247,1313,1635,2335,2583,2138,1347,889,669,714,387,321,22174,389,False,North,389,Ramsey,False
"Jan 9, 2009",Friday,177,105,118,61,107,228,560,997,1055,899,993,1188,1357,1368,1646,2335,2325,1844,1202,864,640,559,535,356,21519,389,False,North,389,Ramsey,False
"Jan 10, 2009",Saturday,229,165,147,77,56,73,154,304,439,604,716,924,1114,1111,1059,1108,976,893,794,605,446,506,438,305,13243,389,False,North,389,Ramsey,False
"Jan 11, 2009",Sunday,227,155,122,78,52,56,107,170,201,371,506,700,854,884,821,846,1092,812,571,475,349,329,242,193,10213,389,False,North,389,Ramsey,False
"Jan 12, 2009",Monday,89,46,42,41,96,216,633,1117,1056,840,827,864,1017,1039,1469,1558,1473,1296,938,701,469,455,281,240,16803,389,False,North,389,Ramsey,False
"Jan 13, 2009",Tuesday,141,87,88,80,127,225,559,832,874,783,779,968,1096,1174,1551,2142,2322,1838,1267,781,628,703,487,297,19829,389,False,North,389,Ramsey,False
"Jan 14, 2009",Wednesday,157,78,101,52,106,209,558,962,955,832,859,1031,1130,1220,1543,2154,2368,2012,1300,797,660,593,371,302,20350,389,False,North,389,Ramsey,False
"Jan 15, 2009",Thursday,169,79,99,62,113,246,580,941,943,841,850,1018,1161,1252,1588,1998,2280,1916,1279,870,665,671,538,291,20450,389,False,North,389,Ramsey,False
"Jan 16, 2009",Friday,166,92,99,59,104,235,521,931,953,866,975,1184,1324,1389,1755,2161,2166,1879,1251,763,568,900,581,316,21238,389,False,North,389,Ramsey,False
"Jan 17, 2009",Saturday,246,152,128,68,57,83,139,264,352,527,760,858,1006,999,1043,1020,924,837,736,560,451,476,620,557,12863,389,False,North,389,Ramsey,False
"Jan 18, 2009",Sunday,252,148,136,71,49,64,91,190,206,347,493,658,832,885,799,810,825,696,581,410,363,321,242,202,9671,389,False,North,389,Ramsey,False
"Jan 19, 2009",Monday,129,73,82,59,112,210,457,818,795,769,914,1155,1274,1370,1491,1955,2008,1594,1035,707,574,472,452,389,18894,389,False,North,389,Ramsey,False
