DATE,DAY,1 am,2 am,3 am,4 am,5 am,6 am,7 am,8 am,9 am,10 am,11 am,Noon,1 pm,2 pm,3 pm,4 pm,5 pm,6 pm,7 pm,8 pm,9 pm,10 pm,11 pm,12 mid,TOTAL,Station number,Estimated,Direction,STATION,COUNTY,RETIRED
"Jan 1, 2009",Thursday,144,99,60,54,48,64,88,137,215,405,518,668,674,619,652,696,642,591,489,403,273,200,134,122,7995,188,False,North,188,Olmsted,True
"Jan 2, 2009",Friday,46,52,27,47,77,159,217,373,490,561,777,689,789,913,1000,1170,1250,1065,745,554,416,389,297,176,12279,188,True,North,188,Olmsted,True
"Jan 3, 2009",Saturday,120,70,43,55,59,77,141,233,421,591,811,806,803,824,742,847,703,478,348,294,244,194,297,139,9340,188,False,North,188,Olmsted,True
"Jan 4, 2009",Sunday,51,39,27,33,36,55,64,133,251,348,566,775,1011,911,775,844,699,622,511,494,318,179,112,84,8938,188,False,North,188,Olmsted,True
"Jan 5, 2009",Monday,51,41,31,45,113,308,462,585,501,524,529,553,571,628,731,860,1086,1020,617,408,340,283,161,117,10565,188,True,North,188,Olmsted,True
"Jan 6, 2009",Tuesday,84,48,55,41,101,214,351,540,475,509,529,645,655,618,780,961,1207,1130,626,437,348,308,194,126,10982,188,False,North,188,Olmsted,True
"Jan 7, 2009",Wednesday,63,62,45,45,96,247,353,547,475,511,531,535,623,624,811,989,1123,1098,645,460,365,302,203,122,10875,188,True,North,188,Olmsted,True
"Jan 8, 2009",Thursday,74,46,58,57,113,231,356,531,532,573,528,628,649,761,833,1100,1230,1229,691,481,454,356,213,160,11884,188,False,North,188,Olmsted,True
"Jan 9, 2009",Friday,93,72,48,53,79,171,292,469,406,475,508,541,619,705,808,1142,1270,1183,753,514,374,381,245,198,11399,188,False,North,188,Olmsted,True
"Jan 10, 2009",Saturday,124,75,46,54,72,105,190,368,509,762,871,879,863,868,921,945,927,768,567,490,416,359,335,273,11787,188,False,North,188,Olmsted,True
"Jan 11, 2009",Sunday,124,69,38,37,47,36,103,163,304,417,587,727,752,828,921,879,942,709,589,473,407,227,149,84,9612,188,False,North,188,Olmsted,True
"Jan 12, 2009",Monday,48,37,31,44,137,264,383,562,419,434,450,537,476,466,605,689,717,594,301,195,128,109,95,81,7802,188,False,North,188,Olmsted,True
"Jan 13, 2009",Tuesday,52,41,25,34,80,172,314,384,409,487,476,498,518,671,680,875,1152,1034,581,413,317,256,172,107,9748,188,False,North,188,Olmsted,True
"Jan 14, 2009",Wednesday,55,59,43,38,90,197,317,471,412,429,456,456,550,608,730,830,1059,1006,599,417,342,273,179,105,9721,188,False,North,188,Olmsted,True
"Jan 15, 2009",Thursday,68,63,42,47,95,217,327,414,442,403,465,463,546,580,723,903,1122,1053,567,393,329,300,169,125,9856,188,False,North,188,Olmsted,True
"Jan 16, 2009",Friday,67,58,37,34,90,191,332,371,464,553,568,636,764,842,1014,1226,1431,1230,810,564,376,365,250,159,12432,188,False,North,188,Olmsted,True
"Jan 17, 2009",Saturday,96,70,39,35,41,73,195,389,519,676,714,747,830,795,842,811,794,667,454,374,283,284,247,158,10133,188,False,North,188,Olmsted,True
"Jan 18, 2009",Sunday,91,61,32,26,33,41,79,197,244,397,622,706,804,899,817,924,882,681,488,453,317,215,140,84,9233,188,False,North,188,Olmsted,True
"Jan 19, 2009",Monday,46,30,39,44,126,237,340,459,504,548,602,608,652,777,843,1062,1258,1069,701,414,341,281,187,129,11297,188,False,North,188,Olmsted,True
"Jan 20, 2009",Tuesday,62,57,34,48,116,281,396,571,538,490,455,559,600,658,755,985,1114,1114,606,436,394,309,225,100,10903,188,False,North,188,Olmsted,True
"Jan 21, 2009",Wednesday,71,47,44,56,107,258,433,561,525,545,532,562,609,658,827,961,1156,1083,626,477,416,316,195,138,11203,188,True,North,188,Olmsted,True
"Jan 22, 2009",Thursday,77,53,47,68,109,284,444,559,521,540,523,572,594,715,810,1010,1142,1124,651,471,418,361,214,148,11455,188,True,North,188,Olmsted,True
"Jan 23, 2009",Friday,83,67,52,62,108,250,412,535,536,560,646,711,870,881,1064,1283,1471,1362,895,576,463,406,247,163,13703,188,True,North,188,Olmsted,True
