DATE,DAY,1 am,2 am,3 am,4 am,5 am,6 am,7 am,8 am,9 am,10 am,11 am,Noon,1 pm,2 pm,3 pm,4 pm,5 pm,6 pm,7 pm,8 pm,9 pm,10 pm,11 pm,12 mid,TOTAL,Station number,Estimated,Direction,STATION,COUNTY,RETIRED
"Jan 1, 2009",Thursday,10,9,9,1,8,5,14,5,21,34,46,41,65,60,70,63,44,43,52,31,24,29,22,9,715,198,False,East,198,Renville,False
"Jan 2, 2009",Friday,4,4,10,6,8,15,24,42,54,84,60,81,96,100,117,117,105,89,57,43,37,36,32,18,1239,198,False,East,198,Renville,False
"Jan 3, 2009",Saturday,13,4,8,9,6,12,20,23,32,58,74,65,77,53,54,67,70,42,31,20,25,11,9,4,787,198,False,East,198,Renville,False
"Jan 4, 2009",Sunday,3,1,5,2,4,3,11,9,29,58,79,98,112,85,88,95,71,59,43,36,28,18,14,9,960,198,False,East,198,Renville,False
"Jan 5, 2009",Monday,7,2,8,1,6,18,49,61,63,59,70,75,63,61,73,92,100,94,57,36,34,20,14,13,1076,198,False,East,198,Renville,False
"Jan 6, 2009",Tuesday,4,10,9,3,5,17,35,45,69,74,59,63,74,70,89,99,112,91,68,38,22,34,22,10,1122,198,False,East,198,Renville,False
"Jan 7, 2009",Wednesday,5,3,9,3,5,20,39,59,58,59,51,63,91,65,93,83,106,87,58,40,31,19,17,12,1076,198,False,East,198,Renville,False
"Jan 8, 2009",Thursday,8,7,10,6,6,15,50,51,63,67,55,79,89,78,114,118,125,80,69,46,33,30,21,15,1235,198,False,East,198,Renville,False
"Jan 9, 2009",Friday,6,4,12,5,11,12,37,41,46,65,46,70,65,75,76,109,114,107,62,42,38,33,13,9,1098,198,False,East,198,Renville,False
"Jan 10, 2009",Saturday,8,4,13,7,7,13,33,24,56,86,66,64,61,61,59,67,70,46,39,32,34,37,23,20,930,198,False,East,198,Renville,False
"Jan 11, 2009",Sunday,9,6,6,7,4,5,12,12,30,47,47,64,81,72,93,77,77,70,58,36,32,32,21,7,905,198,False,East,198,Renville,False
"Jan 12, 2009",Monday,3,10,11,6,4,13,20,31,39,59,55,50,64,42,36,33,26,16,14,8,4,2,6,1,553,198,False,East,198,Renville,False
"Jan 13, 2009",Tuesday,1,1,4,1,6,13,34,38,48,56,65,71,65,83,54,82,94,81,42,39,21,24,9,10,942,198,False,East,198,Renville,False
"Jan 14, 2009",Wednesday,3,4,6,7,7,19,26,40,50,42,51,65,51,60,77,66,102,85,72,40,21,16,18,7,935,198,False,East,198,Renville,False
"Jan 15, 2009",Thursday,1,4,7,6,9,25,36,36,43,44,50,57,66,72,71,90,98,88,50,30,34,27,16,10,970,198,False,East,198,Renville,False
"Jan 16, 2009",Friday,2,9,8,5,17,15,38,53,59,78,76,82,90,71,98,108,132,122,76,64,42,53,34,22,1354,198,False,East,198,Renville,False
"Jan 17, 2009",Saturday,29,7,11,14,4,10,15,32,58,68,61,60,67,52,84,67,62,81,43,32,46,15,19,10,947,198,False,East,198,Renville,False
"Jan 18, 2009",Sunday,6,5,4,1,4,5,10,20,21,53,51,78,83,81,96,77,69,63,65,33,35,19,24,14,917,198,False,East,198,Renville,False
"Jan 19, 2009",Monday,10,10,14,7,10,21,41,44,74,62,58,76,105,87,99,85,106,105,59,38,41,25,29,18,1224,198,False,East,198,Renville,False
"Jan 20, 2009",Tuesday,9,10,7,6,16,21,47,63,60,72,79,74,99,89,111,118,139,110,56,40,47,42,24,27,1366,198,False,East,198,Renville,False
"Jan 21, 2009",Wednesday,9,15,15,17,15,26,43,66,89,72,74,67,94,73,91,99,136,99,55,52,47,32,38,14,1338,198,False,East,198,Renville,False
"Jan 22, 2009",Thursday,13,22,16,12,27,23,53,59,66,71,85,87,98,86,97,114,121,103,60,49,47,39,23,13,1384,198,False,East,198,Renville,False
"Jan 23, 2009",Friday,10,8,13,6,9,14,35,47,63,68,61,64,93,117,97,112,110,88,65,38,29,23,14,16,1200,198,False,East,198,Renville,False
"Jan 24, 2009",Saturday,10,6,9,5,7,3,23,37,91,91,73,54,74,54,65,96,130,99,45,51,25,28,22,17,1115,198,False,East,198,Renville,False
"Jan 25, 2009",Sunday,10,9,3,8,5,10,13,11,22,34,55,63,83,73,69,83,114,75,47,48,29,20,13,9,906,198,False,East,198,Renville,False
