DATE,DAY,1 am,2 am,3 am,4 am,5 am,6 am,7 am,8 am,9 am,10 am,11 am,Noon,1 pm,2 pm,3 pm,4 pm,5 pm,6 pm,7 pm,8 pm,9 pm,10 pm,11 pm,12 mid,TOTAL,Station number,Estimated,Direction
"Jan 1, 2007",Monday,3,4,3,1,0,1,1,0,3,5,3,10,12,15,7,15,10,8,4,3,2,2,3,1,116,214,False,North
"Jan 2, 2007",Tuesday,1,1,2,1,0,2,4,8,5,7,13,10,20,17,16,11,13,9,15,7,2,3,2,0,169,214,False,North
"Jan 3, 2007",Wednesday,1,0,0,1,0,2,4,2,7,11,11,7,11,9,10,25,16,15,7,6,5,4,4,0,158,214,False,North
"Jan 4, 2007",Thursday,1,2,1,1,1,6,1,4,11,10,3,4,8,15,10,9,16,9,5,5,5,8,4,2,141,214,False,North
"Jan 5, 2007",Friday,1,2,0,0,0,3,1,3,11,6,13,11,12,9,10,10,12,25,6,10,5,7,4,2,163,214,False,North
"Jan 6, 2007",Saturday,4,2,1,1,0,1,3,2,8,10,16,8,12,18,12,9,10,8,9,2,5,4,3,4,152,214,False,North
"Jan 7, 2007",Sunday,3,3,0,1,1,1,2,2,7,3,10,7,6,14,10,11,9,6,5,0,3,5,2,1,112,214,False,North
"Jan 8, 2007",Monday,2,1,0,1,1,2,2,2,2,6,10,7,11,8,14,13,9,10,6,7,0,11,9,6,140,214,False,North
"Jan 9, 2007",Tuesday,0,0,0,0,0,2,4,4,2,8,8,8,10,11,8,11,12,12,11,7,4,7,0,1,130,214,True,North
"Jan 10, 2007",Wednesday,0,0,0,0,0,2,5,4,4,9,9,9,12,12,9,14,14,9,12,4,1,3,2,2,136,214,True,North
"Jan 11, 2007",Thursday,2,1,0,1,0,3,0,2,8,3,11,13,11,8,5,12,13,7,6,4,8,6,1,3,128,214,False,North
"Jan 12, 2007",Friday,0,0,1,0,0,2,7,4,5,7,6,9,13,12,12,18,12,12,11,6,7,6,7,0,157,214,True,North
"Jan 13, 2007",Saturday,2,1,2,1,1,3,2,5,7,9,10,12,12,12,12,11,10,9,7,8,4,3,1,0,144,214,True,North
"Jan 14, 2007",Sunday,2,1,0,0,0,2,3,2,4,7,7,11,8,9,11,8,11,8,6,5,6,3,2,1,117,214,True,North
"Jan 15, 2007",Monday,1,0,1,2,1,5,7,5,6,10,8,8,12,11,11,12,12,9,7,4,3,4,2,2,143,214,True,North
"Jan 16, 2007",Tuesday,0,0,0,1,1,3,5,5,3,9,9,9,11,12,9,12,13,13,12,8,5,8,1,2,151,214,True,North
"Jan 17, 2007",Wednesday,0,1,0,1,2,3,6,5,5,10,10,10,12,12,10,14,14,10,12,5,2,4,3,1,152,214,True,North
"Jan 18, 2007",Thursday,0,0,0,0,0,1,4,4,3,8,8,7,8,8,17,21,9,10,11,8,5,6,8,5,151,214,True,North
