DATE,DAY,1 am,2 am,3 am,4 am,5 am,6 am,7 am,8 am,9 am,10 am,11 am,Noon,1 pm,2 pm,3 pm,4 pm,5 pm,6 pm,7 pm,8 pm,9 pm,10 pm,11 pm,12 mid,TOTAL,Station number,Estimated,Direction,STATION,COUNTY,RETIRED
"Jan 1, 2007",Monday,210,174,130,80,41,50,53,49,98,213,293,447,481,564,638,617,645,653,569,404,358,300,160,118,7345,425,False,East,425,Dakota,False
"Jan 2, 2007",Tuesday,87,42,30,25,34,140,256,440,378,406,399,595,643,633,687,1053,1310,1520,972,644,628,470,256,133,11781,425,False,East,425,Dakota,False
"Jan 3, 2007",Wednesday,97,50,45,31,51,138,319,465,385,442,404,566,600,614,750,1103,1365,1533,1020,740,662,415,286,182,12263,425,False,East,425,Dakota,False
"Jan 4, 2007",Thursday,87,54,44,33,48,149,270,478,473,450,406,547,581,580,767,1059,1371,1503,976,724,565,517,297,153,12132,425,False,East,425,Dakota,False
"Jan 5, 2007",Friday,93,65,53,30,48,146,290,447,407,459,430,634,632,665,772,1082,1348,1341,953,704,586,580,422,265,12452,425,False,East,425,Dakota,False
"Jan 6, 2007",Saturday,192,93,70,45,37,51,128,230,329,433,580,726,801,794,837,857,863,850,685,611,472,533,399,248,10864,425,False,East,425,Dakota,False
"Jan 7, 2007",Sunday,202,103,73,43,33,39,66,160,187,368,499,546,733,771,689,751,767,721,636,485,369,294,174,115,8824,425,False,East,425,Dakota,False
"Jan 8, 2007",Monday,74,36,36,35,56,151,286,433,425,458,384,554,587,509,715,1032,1394,1506,1082,620,579,405,233,140,11730,425,False,East,425,Dakota,False
"Jan 9, 2007",Tuesday,85,50,40,29,47,139,279,487,409,444,390,534,554,544,701,1005,1330,1506,1059,746,622,537,260,141,11938,425,True,East,425,Dakota,False
"Jan 10, 2007",Wednesday,90,38,18,39,62,156,301,467,419,443,392,571,573,552,670,1016,1356,1561,1109,782,643,510,258,139,12165,425,False,East,425,Dakota,False
"Jan 11, 2007",Thursday,89,37,43,36,56,146,302,453,397,433,431,563,616,567,746,1062,1413,1458,955,658,606,491,296,146,12000,425,False,East,425,Dakota,False
"Jan 12, 2007",Friday,109,63,34,32,53,138,288,452,415,458,439,601,629,639,755,1074,1314,1328,915,635,501,560,385,233,12050,425,False,East,425,Dakota,False
"Jan 13, 2007",Saturday,178,93,81,49,41,47,114,217,375,468,606,690,784,746,770,748,932,817,691,559,430,505,346,248,10535,425,False,East,425,Dakota,False
"Jan 14, 2007",Sunday,159,118,76,39,33,55,19,112,240,379,510,596,738,684,680,733,802,714,545,431,316,266,191,124,8560,425,False,East,425,Dakota,False
"Jan 15, 2007",Monday,79,58,47,56,67,113,185,273,234,398,436,538,601,642,746,899,1177,1215,904,592,480,376,211,95,10422,425,False,East,425,Dakota,False
"Jan 16, 2007",Tuesday,75,44,35,29,47,139,280,488,409,445,391,534,555,545,702,1006,1330,1507,1060,747,622,537,261,143,11931,425,True,East,425,Dakota,False
"Jan 17, 2007",Wednesday,85,55,43,28,40,130,273,460,378,450,408,544,534,564,669,975,1207,1444,1131,696,677,517,242,141,11691,425,True,East,425,Dakota,False
"Jan 18, 2007",Thursday,87,35,44,22,43,137,222,473,446,445,416,519,592,508,724,931,1208,1461,999,666,651,507,279,152,11567,425,False,East,425,Dakota,False
"Jan 19, 2007",Friday,78,44,50,32,38,117,276,479,386,486,425,552,585,646,743,1020,1232,1328,943,650,543,611,404,263,11931,425,False,East,425,Dakota,False
"Jan 20, 2007",Saturday,146,102,58,41,32,64,120,222,402,526,692,775,801,873,780,768,886,872,727,546,474,455,352,301,11015,425,False,East,425,Dakota,False
"Jan 21, 2007",Sunday,151,97,73,44,27,36,59,118,231,351,476,521,721,695,631,643,651,639,544,442,360,289,179,107,8085,425,False,East,425,Dakota,False
"Jan 22, 2007",Monday,66,38,40,19,53,143,300,430,384,459,395,517,555,515,611,969,1252,1485,1063,659,559,427,223,127,11289,425,False,East,425,Dakota,False
"Jan 23, 2007",Tuesday,69,37,26,29,53,137,285,470,428,469,400,538,576,522,676,929,1330,1480,1038,662,583,530,214,96,11577,425,False,East,425,Dakota,False
"Jan 24, 2007",Wednesday,66,47,31,22,47,136,253,440,415,467,413,557,547,503,652,962,1276,1571,1133,727,658,505,243,156,11827,425,False,East,425,Dakota,False
"Jan 25, 2007",Thursday,70,55,32,32,53,139,278,478,425,422,413,548,515,522,683,1032,1305,1425,1017,726,605,566,331,184,11856,425,False,East,425,Dakota,False
"Jan 26, 2007",Friday,87,57,44,32,54,115,268,417,449,476,480,632,653,658,800,1045,1283,1359,974,789,646,620,429,303,12670,425,False,East,425,Dakota,False
"Jan 27, 2007",Saturday,177,108,75,47,41,55,125,226,423,463,603,710,810,795,845,827,852,768,731,604,474,465,352,274,10850,425,False,East,425,Dakota,False
"Jan 28, 2007",Sunday,201,105,87,50,31,40,65,98,173,350,477,518,637,700,710,759,818,729,611,521,465,289,182,96,8712,425,False,East,425,Dakota,False
"Jan 29, 2007",Monday,50,32,41,36,48,136,293,448,443,431,393,516,561,522,661,935,1351,1510,1040,624,512,455,220,107,11365,425,False,East,425,Dakota,False
"Jan 30, 2007",Tuesday,59,39,48,26,47,120,246,466,391,474,425,532,575,507,699,1006,1251,1409,1114,650,597,467,238,124,11510,425,False,East,425,Dakota,False
"Jan 31, 2007",Wednesday,69,48,32,30,37,124,238,483,389,475,384,570,524,507,650,919,1293,1453,1098,706,671,487,244,133,11564,425,False,East,425,Dakota,False
"Jan 1, 2007",Monday,200,150,104,76,42,67,88,97,163,259,333,533,584,611,669,609,615,508,485,377,278,217,157,80,7302,425,False,West,425,Dakota,False
