DATE,DAY,1 am,2 am,3 am,4 am,5 am,6 am,7 am,8 am,9 am,10 am,11 am,Noon,1 pm,2 pm,3 pm,4 pm,5 pm,6 pm,7 pm,8 pm,9 pm,10 pm,11 pm,12 mid,TOTAL,Station number,Estimated,Direction
"Jan 1, 2007",Monday,10,6,7,3,0,2,5,8,7,5,23,19,31,36,42,34,33,24,19,13,13,9,5,8,362,57,False,North
"Jan 2, 2007",Tuesday,5,2,0,2,0,4,8,27,15,21,25,22,25,35,45,71,58,67,37,28,20,18,9,11,555,57,False,North
"Jan 3, 2007",Wednesday,2,3,1,2,1,7,12,24,14,13,29,19,31,33,36,57,76,69,43,28,29,10,13,11,563,57,False,North
"Jan 4, 2007",Thursday,5,2,3,0,4,2,15,24,18,18,14,17,29,30,38,66,50,72,41,26,22,28,5,16,545,57,False,North
"Jan 5, 2007",Friday,2,1,0,3,0,4,12,22,22,17,18,23,25,27,42,78,67,120,59,31,29,21,9,14,646,57,False,North
"Jan 6, 2007",Saturday,11,4,3,3,2,2,2,19,18,27,18,35,35,40,49,38,48,60,45,33,19,11,12,13,547,57,False,North
"Jan 7, 2007",Sunday,10,9,2,8,0,0,3,11,14,21,27,16,35,38,42,42,28,35,17,12,12,11,7,9,409,57,False,North
"Jan 8, 2007",Monday,4,1,0,2,1,2,9,19,21,23,23,23,29,30,37,58,75,73,40,29,21,21,6,9,556,57,False,North
"Jan 9, 2007",Tuesday,3,2,3,0,0,5,10,25,12,19,15,21,36,33,36,63,62,64,44,27,21,13,11,17,542,57,False,North
"Jan 10, 2007",Wednesday,2,2,3,1,1,8,14,22,22,15,16,25,27,24,35,74,51,62,34,19,37,15,13,11,533,57,False,North
"Jan 11, 2007",Thursday,6,3,2,0,1,1,9,19,20,15,17,18,23,36,32,75,60,77,28,39,22,19,10,10,542,57,False,North
"Jan 12, 2007",Friday,3,4,2,0,1,1,12,20,20,23,16,25,35,33,44,86,68,63,51,37,19,22,29,12,626,57,False,North
"Jan 13, 2007",Saturday,13,5,4,1,2,3,5,12,14,12,19,31,34,37,36,52,42,56,46,15,13,19,13,14,498,57,False,North
"Jan 14, 2007",Sunday,5,4,4,2,2,2,1,14,6,14,27,30,37,40,44,40,35,34,25,24,8,9,7,7,421,57,False,North
"Jan 15, 2007",Monday,5,2,2,4,1,4,5,17,19,7,20,16,19,32,33,73,60,63,39,22,27,19,8,10,507,57,False,North
"Jan 16, 2007",Tuesday,6,0,0,2,2,1,12,20,17,18,13,33,28,25,36,76,67,80,46,25,22,17,14,9,569,57,False,North
"Jan 17, 2007",Wednesday,7,1,2,2,1,4,16,20,15,20,24,30,30,32,40,79,59,72,33,29,21,14,11,6,568,57,False,North
"Jan 18, 2007",Thursday,4,1,1,3,1,2,8,15,20,15,15,18,23,38,37,70,61,80,47,33,25,26,14,9,566,57,False,North
"Jan 19, 2007",Friday,4,3,2,2,2,7,10,24,13,18,15,31,32,29,45,69,77,86,52,34,36,17,14,15,637,57,False,North
"Jan 20, 2007",Saturday,14,3,3,4,2,3,11,13,11,20,27,34,36,43,52,55,37,46,41,35,19,19,16,15,559,57,False,North
"Jan 21, 2007",Sunday,9,5,5,4,1,0,2,16,6,21,25,39,38,50,36,46,49,19,20,17,11,10,6,6,441,57,False,North
"Jan 22, 2007",Monday,6,0,2,2,2,2,12,13,26,18,23,27,24,29,30,80,68,62,34,34,22,23,8,8,555,57,False,North
"Jan 23, 2007",Tuesday,5,2,1,0,2,3,9,24,18,18,18,23,22,35,35,70,73,66,37,32,30,35,8,7,573,57,False,North
"Jan 24, 2007",Wednesday,4,1,1,1,5,2,15,21,23,15,17,26,30,22,35,68,49,68,41,36,38,10,13,5,546,57,False,North
"Jan 25, 2007",Thursday,6,1,2,0,4,2,15,26,17,20,15,29,26,20,41,75,66,63,43,25,29,17,11,12,565,57,False,North
"Jan 26, 2007",Friday,6,0,1,4,4,4,13,20,16,18,19,29,25,37,43,76,83,99,55,42,22,23,20,10,669,57,False,North
"Jan 27, 2007",Saturday,7,4,7,2,2,4,5,20,30,27,39,35,38,49,40,28,53,40,37,24,17,17,13,12,550,57,False,North
"Jan 28, 2007",Sunday,7,4,1,0,0,2,5,9,11,19,30,31,33,45,40,43,35,35,18,21,13,10,8,8,428,57,False,North
"Jan 29, 2007",Monday,1,0,1,3,4,5,10,19,15,18,17,18,24,13,34,67,55,66,46,20,17,15,10,9,487,57,False,North
"Jan 30, 2007",Tuesday,0,3,1,1,1,3,15,16,13,13,19,19,23,24,42,61,68,73,43,20,24,25,8,14,529,57,False,North
