DATE|DAY|1 am|2 am|3 am|4 am|5 am|6 am|7 am|8 am|9 am|10 am|11 am|Noon|1 pm|2 pm|3 pm|4 pm|5 pm|6 pm|7 pm|8 pm|9 pm|10 pm|11 pm|12 mid|TOTAL|Station number|Estimated|Direction
Jan 1, 2011|Saturday|1|1|1|0|0|1|1|2|4|5|4|7|6|6|4|4|5|4|4|6|4|2|2|0|74|56|True|North
Jan 2, 2011|Sunday|1|2|0|0|0|0|0|2|5|6|5|7|6|4|6|14|11|9|8|8|3|2|1|1|101|56|True|North
Jan 3, 2011|Monday|0|0|0|0|1|1|5|8|5|10|10|5|10|11|9|6|10|16|9|3|4|1|1|0|125|56|True|North
Jan 4, 2011|Tuesday|1|0|0|0|0|2|3|6|6|10|9|9|8|9|11|9|13|11|9|3|3|3|2|2|129|56|True|North
Jan 5, 2011|Wednesday|1|1|0|0|0|3|4|9|6|13|10|10|8|7|14|10|9|14|4|6|3|3|2|1|138|56|True|North
Jan 6, 2011|Thursday|1|1|0|0|0|2|3|10|6|8|9|12|8|10|11|10|17|11|6|4|2|3|3|0|137|56|True|North
Jan 7, 2011|Friday|0|0|0|0|0|1|2|8|5|9|9|11|11|13|14|12|13|13|8|6|3|5|2|0|145|56|True|North
Jan 8, 2011|Saturday|1|2|1|0|0|1|1|4|7|9|7|12|10|10|8|8|9|8|7|10|7|3|3|9|137|56|True|North
Jan 9, 2011|Sunday|1|2|0|0|0|0|0|2|5|7|6|8|7|4|7|16|13|10|9|9|3|2|1|4|116|56|True|North
Jan 10, 2011|Monday|0|0|0|0|1|1|5|8|5|10|10|5|10|11|9|6|10|16|9|3|4|1|1|0|125|56|True|North
Jan 11, 2011|Tuesday|1|0|0|0|0|2|3|6|6|10|9|9|8|9|11|9|13|11|9|3|3|3|2|2|129|56|True|North
Jan 12, 2011|Wednesday|1|1|0|0|0|3|4|9|6|13|10|10|8|7|14|10|9|14|4|6|3|3|2|1|138|56|True|North
Jan 13, 2011|Thursday|1|1|0|0|0|2|3|10|6|8|9|12|8|10|11|10|17|11|6|4|2|3|3|0|137|56|True|North
Jan 14, 2011|Friday|0|0|0|0|0|1|2|8|5|9|9|11|11|13|14|12|13|13|8|6|3|5|2|0|145|56|True|North
Jan 15, 2011|Saturday|1|2|1|0|0|1|1|4|7|9|7|12|10|10|8|8|9|8|7|10|7|3|3|9|137|56|True|North
Jan 16, 2011|Sunday|1|2|0|0|0|0|0|2|5|7|6|8|7|4|7|16|13|10|9|9|3|2|1|4|116|56|True|North
Jan 17, 2011|Monday|0|0|0|0|1|1|7|10|7|12|12|7|12|15|11|8|12|20|11|3|6|1|1|1|158|56|True|North
Jan 18, 2011|Tuesday|1|0|0|0|0|2|4|8|8|13|11|11|10|12|14|12|17|14|11|3|4|4|2|4|165|56|True|North
Jan 19, 2011|Wednesday|1|1|0|0|0|3|4|9|6|13|10|10|8|7|14|10|9|14|4|6|3|3|2|1|138|56|True|North
Jan 20, 2011|Thursday|1|1|0|0|0|2|3|10|6|8|9|12|8|10|11|10|17|11|6|4|2|3|3|0|137|56|True|North
Jan 21, 2011|Friday|0|0|0|0|0|1|2|8|5|9|9|11|11|13|14|12|13|13|8|6|3|5|2|0|145|56|True|North
