DATE,DAY,1 am,2 am,3 am,4 am,5 am,6 am,7 am,8 am,9 am,10 am,11 am,Noon,1 pm,2 pm,3 pm,4 pm,5 pm,6 pm,7 pm,8 pm,9 pm,10 pm,11 pm,12 mid,TOTAL,Station number,Estimated,Direction,STATION,COUNTY,RETIRED
"Jan 31, 2012",Tuesday,389,276,277,161,353,1314,3929,5323,5078,4343,3580,3771,3840,4008,4023,4521,4820,4609,4148,2826,2291,2038,1434,821,68173,326,False,East,326,Hennepin,False
"Jan 1, 2012",Sunday,1437,1586,1403,750,410,320,428,579,797,1140,1884,2803,2841,2479,2231,3415,2714,2167,1714,1475,1919,1482,1024,708,37706,326,False,West,326,Hennepin,False
"Jan 2, 2012",Monday,473,330,338,193,220,405,843,1386,1530,1840,2211,2808,3116,3180,3091,3087,2977,2628,2185,1772,1586,2297,1212,787,40495,326,False,West,326,Hennepin,False
"Jan 3, 2012",Tuesday,433,297,231,179,428,1218,2881,5664,5120,3298,3021,3449,3982,3915,4202,5155,5685,5918,4573,2777,1980,1808,1269,868,68351,326,False,West,326,Hennepin,False
"Jan 4, 2012",Wednesday,492,364,295,198,470,1232,2915,5612,5421,3638,3335,3840,4062,4099,4097,4369,5628,5865,4911,2994,2361,2769,2346,994,72307,326,False,West,326,Hennepin,False
"Jan 5, 2012",Thursday,589,369,300,215,445,1223,2979,5647,5384,3707,3367,4049,4291,4486,4627,5228,5705,5529,4990,3145,2640,2431,1607,1004,73957,326,False,West,326,Hennepin,False
"Jan 6, 2012",Friday,583,418,379,257,432,1189,2971,5500,5162,3800,3501,4106,4508,4748,4828,5319,5491,5696,4503,2910,2308,3097,2482,1555,75743,326,False,West,326,Hennepin,False
"Jan 7, 2012",Saturday,1101,889,890,413,302,405,614,1202,1791,2320,2770,3666,3978,3884,3922,4272,4164,3600,3181,2319,1830,2028,2110,1561,53212,326,False,West,326,Hennepin,False
"Jan 8, 2012",Sunday,1219,1066,916,388,229,292,398,721,1068,1487,2358,3127,3717,3454,3038,3267,3175,2903,2240,2208,1580,1330,961,678,41820,326,False,West,326,Hennepin,False
"Jan 9, 2012",Monday,382,242,245,202,438,1256,3075,5769,5338,3504,3162,3700,3892,4183,4494,5250,5608,5751,4887,2940,2478,1948,1336,820,70900,326,False,West,326,Hennepin,False
"Jan 10, 2012",Tuesday,468,296,233,205,440,1270,3223,5844,5456,3750,3275,4004,4160,4466,4794,5361,5762,5832,4708,3076,2684,3671,2348,1056,76382,326,False,West,326,Hennepin,False
"Jan 11, 2012",Wednesday,548,347,304,214,472,1296,3117,5883,5452,3799,3337,4044,4181,4005,4571,5333,5886,5678,4694,3196,2894,2322,1618,877,74068,326,False,West,326,Hennepin,False
"Jan 12, 2012",Thursday,521,365,286,215,479,1267,3057,5211,5617,3661,3309,3982,4181,4463,4621,5366,6173,5837,4861,3300,2765,2645,1693,954,74829,326,False,West,326,Hennepin,False
"Jan 13, 2012",Friday,522,384,343,262,367,1188,2959,5868,5035,3812,3394,4216,4702,5015,4925,5530,5870,5690,4322,2909,2509,2318,2280,1545,75965,326,False,West,326,Hennepin,False
"Jan 14, 2012",Saturday,1097,834,700,319,255,386,615,1149,1807,2238,2770,3605,4325,4164,3604,4252,3611,3088,2725,2525,2186,2113,2207,1914,52489,326,False,West,326,Hennepin,False
"Jan 15, 2012",Sunday,1208,988,908,401,275,273,419,699,1090,1496,2268,3213,3692,3565,3465,3325,3028,2622,2289,2101,1630,1640,1192,804,42591,326,False,West,326,Hennepin,False
"Jan 16, 2012",Monday,501,327,327,207,434,1053,2423,4441,3860,3487,3238,3582,4085,4093,4217,4597,5031,4973,3606,2497,2048,2686,1293,764,63770,326,False,West,326,Hennepin,False
"Jan 17, 2012",Tuesday,468,251,248,184,460,1315,2910,5105,5451,3919,3214,3828,3945,4209,4604,5145,5600,5782,4985,3254,2888,2533,1587,839,72724,326,False,West,326,Hennepin,False
"Jan 18, 2012",Wednesday,451,315,259,187,468,1286,3036,5787,5553,3723,3385,3992,4197,4282,4772,5443,5990,5472,4591,3301,2867,3285,2117,948,75707,326,False,West,326,Hennepin,False
"Jan 19, 2012",Thursday,597,346,249,192,454,1250,2962,5563,4991,3964,3304,3788,3980,4208,4755,5217,5410,5729,5058,3328,2933,2966,1888,998,74130,326,False,West,326,Hennepin,False
"Jan 20, 2012",Friday,565,421,314,218,393,1255,2597,4498,4272,3546,3164,3376,3070,3062,3562,3765,4285,3531,4340,3007,2312,2582,2258,1742,62135,326,False,West,326,Hennepin,False
"Jan 21, 2012",Saturday,1125,861,785,362,261,366,673,1238,1959,2608,3057,3701,4280,4311,4249,4407,4354,3938,3322,2637,2127,2075,2879,2293,57868,326,False,West,326,Hennepin,False
"Jan 22, 2012",Sunday,1246,1034,945,363,253,257,453,739,1047,1530,2472,3096,3653,3508,3175,2951,2910,3018,2005,1655,1260,1371,1064,651,40656,326,False,West,326,Hennepin,False
"Jan 23, 2012",Monday,359,218,234,190,435,1169,2423,3814,3799,3503,2725,2798,3344,3610,3966,4567,5210,5039,4126,2798,2476,3108,1551,797,62259,326,False,West,326,Hennepin,False
"Jan 24, 2012",Tuesday,448,275,206,203,461,1306,3060,5703,5448,3592,3181,3796,4011,4352,4671,4923,5654,5625,4837,3544,3051,2700,1692,856,73595,326,False,West,326,Hennepin,False
"Jan 25, 2012",Wednesday,495,290,257,218,451,1305,3008,5582,5520,3751,3376,4010,4030,4329,4635,5245,5724,5558,4927,3449,2839,2639,1687,926,74251,326,False,West,326,Hennepin,False
"Jan 26, 2012",Thursday,591,345,311,212,488,1282,3001,5725,5494,3812,3375,4066,4220,4504,4917,5370,5298,5781,4962,3400,2998,3043,1968,974,76137,326,False,West,326,Hennepin,False
"Jan 27, 2012",Friday,595,427,344,225,401,1247,2852,5559,5106,3671,3555,4203,4604,4698,4673,5202,5405,5268,4025,2940,2344,3425,2627,1680,75076,326,False,West,326,Hennepin,False
"Jan 28, 2012",Saturday,1240,912,760,378,272,388,660,1317,1972,2545,2923,3924,4373,4296,4143,4539,4038,3473,2869,2376,2010,1961,2629,1854,55852,326,False,West,326,Hennepin,False
"Jan 29, 2012",Sunday,1296,1069,938,358,257,287,425,736,1160,1624,2490,3300,4014,3852,3496,3439,3310,3048,2377,1988,2341,2284,1138,683,45910,326,False,West,326,Hennepin,False
"Jan 30, 2012",Monday,375,242,252,177,437,1253,3014,5835,5087,3460,3178,3590,3907,3945,4497,5261,5675,5756,4617,3102,2586,2376,1336,775,70733,326,False,West,326,Hennepin,False
"Jan 31, 2012",Tuesday,464,278,239,201,510,1245,3175,5766,5303,3556,3235,3956,4246,4366,4760,5558,5912,5890,4547,3263,2947,2673,2162,908,75160,326,False,West,326,Hennepin,False
"Feb 1, 2012",Wednesday,406,255,289,170,375,1341,3920,5246,5109,4415,3662,3826,3750,3848,4056,4547,4953,4897,4609,3000,2420,2164,1471,826,69555,326,False,East,326,Hennepin,False
"Feb 2, 2012",Thursday,442,289,299,201,344,1364,3742,5181,4980,4357,3620,3758,3822,4095,3950,4465,4557,4675,4124,3011,2482,2106,1579,1015,68458,326,False,East,326,Hennepin,False
"Feb 3, 2012",Friday,521,345,331,194,369,1286,3631,5246,5075,4257,3836,4329,4400,4358,4311,4665,4905,4665,4566,3338,2531,2496,2050,1397,73102,326,False,East,326,Hennepin,False
"Feb 4, 2012",Saturday,811,552,489,242,193,398,991,1595,2777,3260,3639,3470,3883,3733,3857,3847,3851,4283,4533,3273,2235,2249,2205,1520,57886,326,False,East,326,Hennepin,False
"Feb 5, 2012",Sunday,924,588,465,231,193,248,637,793,1505,2473,2793,2944,3094,3493,3145,3223,3550,2925,1784,1394,1235,3314,1503,676,43130,326,False,East,326,Hennepin,False
"Feb 6, 2012",Monday,316,159,134,162,349,1272,3686,5257,5099,4009,3401,3555,3478,3759,3830,4301,4728,4472,3683,2604,2092,1869,1264,742,64221,326,False,East,326,Hennepin,False
"Feb 7, 2012",Tuesday,368,241,256,177,357,1338,3845,5452,5060,4359,3575,3726,3793,3945,3999,4487,5108,5099,4714,2838,2313,2002,1559,886,69497,326,False,East,326,Hennepin,False
"Feb 8, 2012",Wednesday,434,275,267,187,370,1356,3853,5388,4813,4576,3777,3868,3883,4028,4049,4564,4965,4693,4261,2920,2351,2178,1536,876,69468,326,False,East,326,Hennepin,False
"Feb 9, 2012",Thursday,413,299,286,186,351,1336,3894,5192,5059,4668,3786,4016,4199,4288,4236,4778,4973,4587,4385,2903,2513,2254,1557,997,71156,326,False,East,326,Hennepin,False
"Feb 10, 2012",Friday,468,312,323,206,356,1280,3602,5470,5139,4384,3689,4151,4232,4336,4308,4743,4544,4241,5158,3391,2546,2408,2032,1431,72750,326,False,East,326,Hennepin,False
"Feb 11, 2012",Saturday,931,567,400,233,212,359,871,1674,2625,3182,3591,3663,3859,3764,3677,3481,3912,4192,4647,3139,2258,2346,2182,1591,57356,326,False,East,326,Hennepin,False
"Feb 12, 2012",Sunday,1051,627,505,224,154,275,585,882,1702,2561,2708,2819,3411,3529,3346,3191,3263,3283,3038,2162,1815,1446,1137,595,44309,326,False,East,326,Hennepin,False
"Feb 13, 2012",Monday,330,181,139,172,338,1294,3749,5406,5084,3997,3412,3482,3759,3804,3894,4350,4614,3457,3334,2511,2113,1896,1253,745,63314,326,False,East,326,Hennepin,False
"Feb 14, 2012",Tuesday,385,256,266,186,341,1331,3818,4951,4785,4322,3581,3842,3815,4033,4043,4598,5016,4566,4292,3215,2239,1997,1595,1018,68491,326,False,East,326,Hennepin,False
"Feb 15, 2012",Wednesday,488,313,265,197,331,1394,3845,5310,4717,4762,3665,3935,3768,3934,3801,4423,4948,4769,4474,3060,2425,2222,1450,847,69343,326,False,East,326,Hennepin,False
"Feb 16, 2012",Thursday,436,302,295,209,373,1377,3794,5334,5170,4610,3653,3891,4008,4248,4237,4767,4723,4578,4231,3173,2626,2327,1655,1078,71095,326,False,East,326,Hennepin,False
"Feb 17, 2012",Friday,538,369,305,216,351,1321,3560,5262,5116,4398,3780,4114,4338,4769,4555,4239,4280,4001,4247,3772,2519,2411,2074,1436,71971,326,False,East,326,Hennepin,False
"Feb 18, 2012",Saturday,759,513,416,235,207,385,871,1515,2754,3299,3854,3582,3874,4005,3672,3461,3621,3822,4170,3383,2247,2253,2146,1537,56581,326,False,East,326,Hennepin,False
"Feb 19, 2012",Sunday,900,584,486,222,149,268,620,899,1569,2532,2711,2976,3266,3467,3317,3398,3656,3965,3033,2278,1953,1553,1194,741,45737,326,False,East,326,Hennepin,False
"Feb 20, 2012",Monday,373,225,170,183,296,1132,2953,4288,4084,3701,3406,3515,3587,3771,3973,4202,4385,4433,3512,2219,1686,1491,1110,670,59365,326,False,East,326,Hennepin,False
"Feb 21, 2012",Tuesday,339,277,229,202,397,1403,3913,4787,4703,4142,3616,3582,3583,3816,3896,4423,4819,4665,3955,2841,2336,2037,1441,770,66172,326,False,East,326,Hennepin,False
"Feb 22, 2012",Wednesday,412,293,288,175,383,1316,3933,5358,5326,4336,3622,3952,3743,4020,4062,4582,5127,4927,4818,3404,2427,2104,1438,838,70884,326,False,East,326,Hennepin,False
"Feb 23, 2012",Thursday,449,301,289,207,343,1341,3928,5578,5249,4469,3753,4042,3999,4029,4258,4708,5074,4657,4338,3200,2620,2262,1664,982,71740,326,False,East,326,Hennepin,False
"Feb 24, 2012",Friday,513,353,315,201,376,1293,3720,5404,5180,4314,3742,4115,4077,4290,4401,4652,5043,4695,4205,3261,2459,2430,2075,1453,72567,326,False,East,326,Hennepin,False
"Feb 25, 2012",Saturday,757,532,427,208,196,356,980,1822,2867,3278,3554,3592,3799,3821,3775,3442,3547,3820,3960,3302,2299,2320,2183,1565,56402,326,False,East,326,Hennepin,False
"Feb 26, 2012",Sunday,969,636,567,272,173,257,665,962,1737,2479,2953,3135,3187,3306,3253,3461,3635,3027,2728,1961,1653,1371,1167,689,44243,326,False,East,326,Hennepin,False
"Feb 27, 2012",Monday,297,171,148,160,336,1291,3786,5388,5103,3966,3412,3416,3643,3821,3943,4389,4844,4387,3692,2705,2070,1917,1343,794,65022,326,False,East,326,Hennepin,False
"Feb 28, 2012",Tuesday,389,257,257,184,378,1369,3918,4831,4688,4090,3464,3565,3499,3611,3711,4199,4606,4147,3087,2234,1673,1473,1000,533,61163,326,False,East,326,Hennepin,False
"Feb 29, 2012",Wednesday,313,241,222,182,363,1057,2304,2589,2347,2561,2912,3086,2965,3033,3401,3769,4316,4053,3452,2514,2033,1854,1370,770,51707,326,False,East,326,Hennepin,False
"Feb 1, 2012",Wednesday,518,315,291,194,494,1221,3217,5634,5478,3756,3407,4081,4264,4443,4620,5391,6003,5757,4854,3417,2956,3427,2151,962,76851,326,False,West,326,Hennepin,False
