DATE|DAY|1 am|2 am|3 am|4 am|5 am|6 am|7 am|8 am|9 am|10 am|11 am|Noon|1 pm|2 pm|3 pm|4 pm|5 pm|6 pm|7 pm|8 pm|9 pm|10 pm|11 pm|12 mid|TOTAL|Station number|Estimated|Direction
Jan 1, 2006|Sunday|8|7|4|3|9|6|10|14|35|82|111|105|118|134|96|106|94|72|62|47|25|28|15|16|1207|219|False|East
Jan 2, 2006|Monday|15|8|2|8|5|9|20|44|55|103|124|157|151|159|149|130|105|81|62|45|38|23|26|18|1537|219|False|East
Jan 3, 2006|Tuesday|3|4|4|13|9|30|65|61|55|70|77|107|87|109|96|88|111|77|63|45|13|30|17|13|1247|219|False|East
Jan 4, 2006|Wednesday|13|3|6|7|13|31|65|64|78|72|82|88|92|79|97|85|90|83|51|38|47|10|24|9|1227|219|False|East
Jan 5, 2006|Thursday|7|10|4|3|12|36|39|54|78|75|94|100|93|106|109|105|118|102|52|35|42|29|11|10|1324|219|False|East
Jan 6, 2006|Friday|6|1|6|8|8|39|51|49|76|86|92|103|99|115|107|125|110|112|76|59|35|42|15|18|1438|219|False|East
Jan 7, 2006|Saturday|10|9|4|3|10|20|37|48|63|119|96|110|87|92|90|69|61|53|40|62|32|28|18|5|1166|219|False|East
Jan 8, 2006|Sunday|8|10|4|6|3|7|15|26|38|65|94|135|161|163|141|133|116|91|69|60|33|27|16|9|1430|219|False|East
Jan 9, 2006|Monday|14|9|10|8|13|44|61|59|77|101|103|107|103|94|86|101|100|87|49|44|31|28|14|21|1364|219|False|East
Jan 10, 2006|Tuesday|8|6|8|6|14|32|53|67|68|86|91|104|117|86|104|81|104|89|39|45|33|55|25|7|1328|219|False|East
Jan 11, 2006|Wednesday|11|8|4|3|13|34|50|66|80|89|89|95|101|89|94|101|99|89|51|43|35|40|25|19|1328|219|False|East
Jan 12, 2006|Thursday|8|7|9|8|12|31|59|69|77|85|84|86|83|100|95|117|104|78|64|46|30|38|39|15|1344|219|False|East
Jan 13, 2006|Friday|8|13|7|18|12|30|52|61|62|89|101|112|110|117|121|133|128|112|67|52|41|31|18|9|1504|219|False|East
Jan 14, 2006|Saturday|10|6|2|6|3|21|41|40|84|125|118|121|114|104|77|87|72|64|58|49|39|39|25|17|1322|219|False|East
Jan 15, 2006|Sunday|7|5|11|4|6|4|15|26|46|62|111|143|145|159|134|122|104|115|60|56|52|31|27|19|1464|219|False|East
Jan 16, 2006|Monday|6|8|10|17|10|48|61|63|77|85|106|125|122|117|121|124|99|75|53|43|26|23|13|11|1443|219|False|East
Jan 17, 2006|Tuesday|7|4|7|16|17|36|51|72|70|67|83|87|87|85|107|102|99|70|40|35|34|45|29|22|1272|219|False|East
Jan 18, 2006|Wednesday|15|14|2|6|17|42|63|64|90|68|77|85|92|90|94|109|106|78|54|36|35|32|21|16|1306|219|True|East
Jan 19, 2006|Thursday|12|8|1|8|16|42|58|75|67|66|70|86|90|101|98|118|121|94|55|40|47|23|26|12|1334|219|False|East
Jan 20, 2006|Friday|5|7|7|10|8|29|49|60|67|88|87|116|105|107|123|121|139|97|62|50|35|35|27|12|1446|219|False|East
Jan 21, 2006|Saturday|11|9|3|4|7|22|24|46|58|97|88|105|73|92|99|100|101|67|73|63|41|44|19|11|1257|219|False|East
Jan 22, 2006|Sunday|4|7|3|2|3|7|19|32|38|67|134|152|164|184|147|155|145|92|70|65|45|31|27|13|1606|219|False|East
Jan 23, 2006|Monday|11|6|6|13|16|43|62|70|66|83|106|79|88|107|102|105|112|72|51|27|30|18|15|20|1308|219|False|East
Jan 24, 2006|Tuesday|5|6|6|8|12|30|52|57|66|92|63|73|86|101|78|87|101|96|49|30|25|25|31|11|1190|219|False|East
Jan 25, 2006|Wednesday|12|2|6|3|10|30|56|73|90|63|92|88|91|75|90|105|111|109|46|36|23|35|19|20|1285|219|False|East
Jan 26, 2006|Thursday|12|2|2|6|28|32|66|73|79|91|81|79|82|82|89|91|117|92|47|51|50|29|22|9|1312|219|False|East
Jan 27, 2006|Friday|7|5|3|10|9|20|50|61|72|86|73|91|91|123|137|144|140|112|76|56|35|29|25|17|1472|219|False|East
Jan 28, 2006|Saturday|11|5|1|7|5|15|35|41|61|104|92|106|109|105|84|72|72|83|50|40|28|27|21|20|1194|219|False|East
Jan 29, 2006|Sunday|7|6|4|5|4|10|12|17|48|83|118|144|156|126|147|149|130|106|72|52|47|23|24|13|1503|219|False|East
Jan 30, 2006|Monday|7|3|3|14|17|44|60|80|78|74|83|98|89|92|122|120|130|86|61|28|32|19|19|8|1367|219|False|East
Jan 31, 2006|Tuesday|5|5|9|7|8|36|61|55|73|88|82|73|78|82|87|89|115|69|51|52|39|22|17|10|1213|219|False|East
Jan 1, 2006|Sunday|29|22|10|1|4|7|5|10|20|37|52|79|107|74|101|89|101|83|47|46|41|31|22|21|1039|219|False|West
Jan 2, 2006|Monday|12|6|11|5|10|7|18|35|42|55|75|98|85|85|115|104|117|106|84|59|32|31|21|12|1225|219|False|West
Jan 3, 2006|Tuesday|7|5|14|8|8|26|54|90|56|86|94|76|73|84|89|91|104|93|66|44|25|17|16|9|1235|219|False|West
Jan 4, 2006|Wednesday|6|10|8|5|7|22|46|84|63|89|82|84|69|84|83|91|106|110|59|35|26|22|20|18|1229|219|False|West
Jan 5, 2006|Thursday|6|7|8|10|8|17|48|74|96|109|102|107|109|88|98|73|113|99|88|65|52|48|28|12|1465|219|False|West
Jan 6, 2006|Friday|17|12|7|10|15|28|48|88|97|109|96|96|104|115|121|153|182|143|126|84|74|49|24|13|1811|219|False|West
Jan 7, 2006|Saturday|10|11|9|7|10|21|28|25|56|78|71|87|99|87|101|107|87|97|83|73|60|49|39|23|1318|219|False|West
Jan 8, 2006|Sunday|10|8|4|2|8|13|15|12|34|51|58|77|87|87|96|103|98|82|71|77|43|30|24|9|1099|219|False|West
Jan 9, 2006|Monday|3|13|7|8|12|28|56|82|67|73|99|103|88|82|98|75|91|90|64|45|28|22|25|15|1274|219|False|West
Jan 10, 2006|Tuesday|14|13|5|7|9|25|52|103|101|118|75|70|67|91|90|100|115|115|77|35|24|28|17|12|1363|219|False|West
Jan 11, 2006|Wednesday|7|13|3|7|11|20|61|72|85|93|101|78|67|78|79|87|107|104|70|42|39|27|20|12|1283|219|False|West
Jan 12, 2006|Thursday|4|9|9|9|13|32|60|87|80|103|76|99|84|91|80|107|132|114|96|62|52|36|41|24|1500|219|False|West
Jan 13, 2006|Friday|12|7|7|11|9|30|44|87|82|87|116|102|115|124|129|151|182|149|160|100|81|60|35|29|1909|219|False|West
Jan 14, 2006|Saturday|6|9|16|19|10|18|39|28|43|75|92|97|93|58|96|114|116|101|95|70|51|54|65|25|1390|219|False|West
Jan 15, 2006|Sunday|21|13|15|5|3|9|7|13|25|51|62|79|72|96|105|81|87|100|81|60|52|32|32|15|1116|219|False|West
Jan 16, 2006|Monday|11|2|5|11|6|19|49|63|76|81|83|84|70|80|83|79|83|98|60|41|32|26|15|7|1164|219|False|West
Jan 17, 2006|Tuesday|7|3|15|17|11|18|46|80|79|86|69|85|83|77|76|77|97|100|79|39|36|25|17|9|1231|219|False|West
Jan 18, 2006|Wednesday|5|5|13|11|12|17|47|65|76|93|78|92|91|68|84|97|103|82|53|46|31|24|12|20|1225|219|True|West
Jan 19, 2006|Thursday|10|7|23|11|15|21|52|78|94|114|72|81|86|99|90|113|139|132|76|43|56|39|26|22|1499|219|False|West
Jan 20, 2006|Friday|8|10|20|17|14|23|41|70|71|93|100|113|104|119|132|148|162|162|157|120|92|81|50|23|1930|219|False|West
Jan 21, 2006|Saturday|20|10|17|8|7|14|16|28|68|83|92|89|93|77|104|94|89|124|67|67|68|45|32|23|1335|219|False|West
Jan 22, 2006|Sunday|21|14|6|1|3|7|5|16|28|34|53|61|103|104|103|107|85|84|78|56|55|35|17|13|1089|219|False|West
Jan 23, 2006|Monday|9|6|3|8|9|20|42|78|79|93|81|79|95|71|82|83|86|94|68|39|27|18|22|18|1210|219|False|West
Jan 24, 2006|Tuesday|12|16|8|6|10|11|42|75|79|100|72|80|61|76|72|105|73|84|52|43|42|24|17|10|1170|219|False|West
Jan 25, 2006|Wednesday|10|5|18|7|10|18|36|66|69|85|77|58|77|84|81|92|100|105|69|41|38|25|26|35|1232|219|False|West
Jan 26, 2006|Thursday|41|8|12|15|9|18|52|81|80|95|103|85|80|101|97|117|125|114|81|76|57|47|37|20|1551|219|False|West
Jan 27, 2006|Friday|13|13|9|14|9|25|36|83|76|91|87|114|124|99|139|128|171|134|146|99|88|50|62|23|1833|219|False|West
Jan 28, 2006|Saturday|11|7|4|7|5|22|29|40|53|61|68|73|92|70|84|104|109|112|81|55|54|33|29|27|1230|219|False|West
Jan 29, 2006|Sunday|14|4|1|4|9|4|8|10|31|46|50|90|107|113|102|116|114|98|74|62|48|30|17|9|1161|219|False|West
Jan 30, 2006|Monday|9|9|3|4|11|22|41|77|80|75|71|66|65|73|78|73|89|85|73|46|26|22|22|13|1133|219|False|West
Jan 31, 2006|Tuesday|55|24|25|12|10|20|49|82|70|88|83|77|82|81|99|76|112|92|63|51|27|45|27|6|1356|219|False|West
Feb 1, 2006|Wednesday|15|5|4|7|12|31|48|60|70|57|64|70|92|78|79|109|105|77|59|38|56|29|22|12|1199|219|False|East
