DATE,DAY,1 am,2 am,3 am,4 am,5 am,6 am,7 am,8 am,9 am,10 am,11 am,Noon,1 pm,2 pm,3 pm,4 pm,5 pm,6 pm,7 pm,8 pm,9 pm,10 pm,11 pm,12 mid,TOTAL,Station number,Estimated,Direction
"Jan 1, 2004",Thursday,95,94,78,70,58,63,80,97,142,280,434,547,561,602,561,529,471,503,394,313,293,202,154,104,6725,353,False,North
"Jan 2, 2004",Friday,58,70,55,56,131,335,570,605,530,563,617,635,660,651,670,669,684,594,479,361,253,203,174,143,9766,353,False,North
"Jan 3, 2004",Saturday,87,48,56,50,57,130,158,230,354,502,710,706,713,682,622,596,647,662,466,351,285,252,231,139,8734,353,False,North
"Jan 4, 2004",Sunday,88,50,45,25,44,75,86,96,220,330,438,564,650,588,630,715,773,636,560,448,364,242,167,112,7946,353,False,North
"Jan 5, 2004",Monday,75,55,35,76,169,586,925,952,632,514,456,440,442,461,451,448,451,427,346,241,196,204,161,113,8856,353,False,North
"Jan 6, 2004",Tuesday,55,61,47,59,150,570,908,937,685,506,473,459,438,495,508,490,563,513,353,261,190,161,182,93,9157,353,False,North
"Jan 7, 2004",Wednesday,60,45,39,59,154,579,940,967,658,510,494,424,424,563,495,505,519,561,420,236,223,218,199,117,9409,353,False,North
"Jan 8, 2004",Thursday,59,51,42,60,155,578,939,990,670,569,487,484,467,544,534,569,603,563,457,295,190,196,209,87,9798,353,False,North
"Jan 9, 2004",Friday,58,55,50,67,141,559,896,930,637,535,515,525,531,581,557,684,714,738,601,382,313,245,211,133,10658,353,False,North
"Jan 10, 2004",Saturday,64,69,51,39,58,154,197,269,415,621,696,736,720,719,638,602,681,626,449,350,305,224,173,128,8984,353,False,North
"Jan 11, 2004",Sunday,73,66,54,43,41,81,110,158,280,450,544,732,672,643,667,692,738,686,532,424,421,247,179,116,8649,353,False,North
"Jan 12, 2004",Monday,62,53,35,60,152,587,945,958,648,510,452,460,465,487,464,456,529,489,313,231,214,180,163,77,8990,353,False,North
"Jan 13, 2004",Tuesday,46,44,32,73,149,608,910,969,671,471,467,431,443,481,468,517,513,548,391,252,221,215,205,88,9213,353,False,North
"Jan 14, 2004",Wednesday,56,49,44,56,150,566,934,973,626,487,415,479,443,479,474,470,566,515,395,276,242,240,179,88,9202,353,False,North
"Jan 15, 2004",Thursday,60,67,48,64,157,573,929,982,691,484,476,493,466,498,508,564,628,600,466,302,229,195,182,102,9764,353,False,North
"Jan 16, 2004",Friday,58,63,43,59,148,492,848,872,627,553,558,578,634,669,662,820,837,816,670,420,328,281,302,176,11514,353,True,North
"Jan 17, 2004",Saturday,102,67,70,56,58,153,223,279,407,574,754,779,764,717,690,681,676,700,507,342,273,251,327,175,9625,353,False,North
"Jan 18, 2004",Sunday,96,83,59,49,46,81,111,130,231,373,569,719,728,662,614,665,644,649,482,414,335,313,200,121,8374,353,False,North
"Jan 19, 2004",Monday,74,66,62,67,178,530,815,806,611,566,575,528,542,578,546,619,550,491,398,298,257,225,172,88,9642,353,False,North
"Jan 20, 2004",Tuesday,45,41,36,52,151,581,966,962,657,481,434,445,443,447,466,499,560,517,359,220,205,189,165,75,8996,353,False,North
"Jan 21, 2004",Wednesday,52,36,38,49,140,492,861,960,652,497,459,475,449,512,532,539,528,544,371,265,217,198,215,102,9183,353,True,North
"Jan 22, 2004",Thursday,74,58,66,80,147,525,886,953,705,579,474,429,498,524,519,511,592,581,462,308,234,269,188,118,9780,353,False,North
"Jan 23, 2004",Friday,82,65,48,67,164,548,818,928,643,532,530,587,595,694,706,780,843,779,644,457,304,278,196,128,11416,353,False,North
"Jan 24, 2004",Saturday,72,42,53,61,67,141,218,312,447,677,754,824,749,759,677,653,768,660,510,351,290,215,204,135,9639,353,False,North
"Jan 25, 2004",Sunday,85,61,36,39,36,83,89,112,212,319,430,672,673,647,638,661,602,561,448,342,239,171,140,68,7364,353,False,North
"Jan 26, 2004",Monday,48,44,45,49,137,549,762,797,537,338,330,281,315,340,309,373,328,322,221,166,149,145,114,96,6795,353,False,North
"Jan 27, 2004",Tuesday,32,34,40,52,156,547,887,876,662,499,409,422,426,459,454,474,490,523,354,222,200,205,161,96,8680,353,False,North
"Jan 28, 2004",Wednesday,68,45,43,72,163,588,875,944,670,508,433,423,432,504,469,490,487,505,399,284,201,201,183,121,9108,353,False,North
"Jan 29, 2004",Thursday,66,57,54,72,160,500,864,935,653,433,462,453,399,514,459,511,588,605,412,294,259,235,207,125,9317,353,False,North
"Jan 30, 2004",Friday,57,54,54,68,145,524,808,840,566,431,474,536,554,669,743,796,799,765,696,452,369,282,182,145,11009,353,False,North
"Jan 31, 2004",Saturday,82,49,37,49,67,117,163,265,432,532,654,669,689,676,646,671,668,598,442,366,290,230,160,133,8685,353,False,North
"Jan 1, 2004",Thursday,123,140,110,62,50,62,41,92,137,221,347,479,515,536,519,531,587,527,447,359,284,250,217,111,6747,353,False,South
"Jan 2, 2004",Friday,84,60,45,33,51,71,161,250,345,408,488,555,592,653,679,911,981,900,655,493,358,340,359,206,9678,353,False,South
"Jan 3, 2004",Saturday,140,99,68,37,39,58,109,172,330,428,554,584,615,594,612,617,723,672,597,520,398,335,279,194,8774,353,False,South
"Jan 4, 2004",Sunday,132,89,60,51,36,35,69,93,170,274,354,554,539,558,644,691,867,723,614,509,362,266,174,100,7964,353,False,South
"Jan 5, 2004",Monday,67,43,38,40,55,104,225,370,332,418,452,426,475,456,650,812,1032,933,627,412,309,245,197,139,8857,353,False,South
"Jan 6, 2004",Tuesday,101,75,55,45,63,70,198,375,412,359,410,412,419,458,645,830,1033,960,600,376,322,297,281,181,8977,353,False,South
"Jan 7, 2004",Wednesday,114,64,44,55,63,72,221,389,389,419,423,480,457,457,662,837,1090,1000,643,472,323,314,312,169,9469,353,False,South
"Jan 8, 2004",Thursday,115,80,58,52,48,95,242,417,424,428,451,453,488,530,708,875,1132,986,696,447,372,351,260,192,9900,353,False,South
"Jan 9, 2004",Friday,160,89,62,53,45,92,239,397,411,387,447,472,560,655,813,1056,1163,1222,852,558,437,331,363,231,11095,353,False,South
"Jan 10, 2004",Saturday,153,107,67,43,38,59,109,266,389,510,528,547,560,620,609,701,684,695,576,489,408,402,321,246,9127,353,False,South
"Jan 11, 2004",Sunday,155,101,70,43,32,38,74,126,187,258,420,566,668,766,759,932,1067,887,674,575,486,328,229,133,9574,353,False,South
"Jan 12, 2004",Monday,107,62,36,39,61,105,252,446,434,442,449,423,437,483,611,806,1023,961,603,391,323,266,241,157,9158,353,False,South
"Jan 13, 2004",Tuesday,108,68,57,51,47,77,234,430,391,397,367,375,405,430,606,832,1052,986,579,404,357,352,230,134,8969,353,False,South
"Jan 14, 2004",Wednesday,99,70,49,41,69,70,232,409,350,433,385,399,443,446,646,788,1111,927,587,402,363,302,266,152,9039,353,False,South
"Jan 15, 2004",Thursday,95,65,41,40,64,94,240,411,438,406,384,421,481,494,685,871,1006,1011,647,432,355,341,271,164,9457,353,False,South
"Jan 16, 2004",Friday,124,83,66,50,54,97,218,390,401,435,490,540,630,631,826,1104,1290,1163,916,660,455,345,317,232,11517,353,True,South
"Jan 17, 2004",Saturday,153,95,74,56,41,57,115,199,336,491,545,604,634,612,657,718,785,787,640,501,417,374,288,278,9457,353,False,South
"Jan 18, 2004",Sunday,244,98,68,49,33,32,68,106,166,247,396,530,567,630,669,720,722,743,590,549,397,283,197,116,8220,353,False,South
"Jan 19, 2004",Monday,97,57,45,47,50,94,234,367,427,483,469,529,481,516,699,848,1099,1019,681,515,453,369,238,132,9949,353,False,South
"Jan 20, 2004",Tuesday,99,76,33,49,57,77,229,421,405,429,448,405,431,415,632,818,990,945,641,350,310,293,248,177,8978,353,False,South
"Jan 21, 2004",Wednesday,101,64,58,48,47,84,215,410,410,427,413,423,451,474,565,801,1072,955,595,404,354,297,239,160,9067,353,True,South
"Jan 22, 2004",Thursday,117,87,46,37,53,79,230,429,380,370,372,417,473,457,674,811,1012,921,661,445,353,327,272,165,9188,353,False,South
"Jan 23, 2004",Friday,117,90,51,42,41,87,199,363,340,330,352,428,522,561,807,993,1210,1068,827,565,443,353,341,288,10418,353,False,South
"Jan 24, 2004",Saturday,170,119,80,48,34,61,86,252,400,444,558,598,615,630,697,619,729,693,628,609,476,401,367,293,9607,353,False,South
"Jan 25, 2004",Sunday,188,102,57,46,36,36,54,91,187,272,379,524,568,618,649,692,825,808,670,555,384,334,191,134,8400,353,False,South
"Jan 26, 2004",Monday,85,41,25,26,41,73,179,282,290,271,331,376,318,330,493,669,796,768,531,336,244,167,141,107,6920,353,False,South
"Jan 27, 2004",Tuesday,89,65,49,47,60,79,193,342,333,368,402,420,399,393,542,744,953,976,638,399,339,298,225,177,8530,353,False,South
"Jan 28, 2004",Wednesday,101,67,51,47,56,78,234,402,394,365,393,395,391,418,569,815,969,983,590,422,391,293,252,215,8891,353,False,South
"Jan 29, 2004",Thursday,106,81,46,40,53,85,198,359,351,360,399,399,434,460,592,762,970,962,662,414,371,337,299,173,8913,353,False,South
"Jan 30, 2004",Friday,96,72,52,33,46,114,248,349,340,362,372,471,547,564,781,973,1169,1086,906,637,422,380,302,227,10549,353,False,South
"Jan 31, 2004",Saturday,140,101,73,40,47,35,93,209,301,426,542,518,573,591,554,575,654,610,533,464,367,339,336,279,8400,353,False,South
"Feb 1, 2004",Sunday,89,47,36,27,34,55,73,140,164,258,412,538,574,586,569,591,506,465,263,225,227,165,181,101,6326,353,False,North
"Feb 2, 2004",Monday,56,47,39,60,137,466,724,615,373,269,188,115,194,318,283,308,260,240,176,131,124,100,111,71,5405,353,False,North
"Feb 3, 2004",Tuesday,41,29,35,67,135,570,923,798,615,426,435,412,407,490,454,491,539,507,379,258,191,182,166,88,8638,353,False,North
"Feb 4, 2004",Wednesday,62,48,32,53,139,568,964,958,648,461,458,436,434,462,483,509,582,493,370,239,182,214,237,108,9140,353,False,North
"Feb 5, 2004",Thursday,49,46,40,60,155,592,932,936,640,515,448,439,436,486,469,547,547,564,425,248,243,213,164,81,9275,353,False,North
"Feb 6, 2004",Friday,43,49,54,50,122,535,882,847,596,465,446,499,622,637,645,697,797,823,600,413,261,295,250,177,10805,353,False,North
"Feb 7, 2004",Saturday,96,44,52,45,64,140,174,322,470,619,749,748,685,642,645,687,669,658,521,378,326,223,242,158,9357,353,False,North
"Feb 8, 2004",Sunday,76,71,46,31,34,73,112,154,256,388,568,744,720,696,686,743,712,701,533,474,317,229,159,116,8639,353,False,North
"Feb 9, 2004",Monday,69,37,51,68,161,617,913,924,645,480,449,403,428,470,401,465,475,484,356,204,169,177,168,95,8709,353,False,North
"Feb 10, 2004",Tuesday,42,37,28,62,147,618,958,940,661,468,436,423,423,462,485,491,538,567,381,245,211,199,180,87,9089,353,True,North
"Feb 11, 2004",Wednesday,47,45,34,66,166,578,936,937,651,476,440,450,426,438,415,511,492,449,358,234,193,188,153,80,8763,353,True,North
"Feb 12, 2004",Thursday,54,55,42,79,149,583,878,967,690,485,492,467,470,519,532,533,609,569,477,308,291,267,212,106,9834,353,False,North
"Feb 13, 2004",Friday,58,65,49,59,158,573,873,899,672,564,611,636,676,767,758,815,849,907,672,477,372,368,280,158,12316,353,False,North
"Feb 14, 2004",Saturday,93,60,43,37,56,131,157,321,434,586,743,756,726,702,656,669,646,599,430,357,278,246,202,160,9088,353,False,North
"Feb 15, 2004",Sunday,73,65,49,46,39,82,77,134,227,350,531,667,671,658,614,634,680,672,602,521,420,274,187,117,8390,353,False,North
"Feb 16, 2004",Monday,61,56,39,53,167,517,782,782,541,570,564,537,539,570,589,581,548,557,419,299,259,233,190,96,9549,353,False,North
"Feb 17, 2004",Tuesday,56,43,31,61,170,572,915,978,677,473,452,444,479,476,449,541,549,535,372,268,212,207,168,94,9222,353,False,North
"Feb 18, 2004",Wednesday,41,44,32,65,174,569,956,935,674,491,471,484,444,513,549,545,539,525,405,284,228,244,182,105,9499,353,False,North
"Feb 19, 2004",Thursday,68,44,44,70,153,590,930,988,704,500,482,495,539,555,540,663,645,622,437,299,220,210,178,98,10074,353,False,North
"Feb 20, 2004",Friday,45,56,29,69,133,507,778,790,606,425,444,431,559,653,656,772,762,738,591,407,293,243,293,159,10439,353,False,North
"Feb 21, 2004",Saturday,102,52,47,40,78,150,185,309,535,650,847,980,766,757,723,744,713,702,496,402,291,284,297,186,10336,353,False,North
"Feb 22, 2004",Sunday,113,68,60,46,52,74,100,168,247,436,579,757,832,740,670,729,736,691,552,440,392,251,189,110,9032,353,False,North
