DATE,DAY,1 am,2 am,3 am,4 am,5 am,6 am,7 am,8 am,9 am,10 am,11 am,Noon,1 pm,2 pm,3 pm,4 pm,5 pm,6 pm,7 pm,8 pm,9 pm,10 pm,11 pm,12 mid,TOTAL,Station number,Estimated,Direction,STATION,COUNTY
"Jan 1, 2013",Tuesday,1,1,1,0,0,0,3,4,3,8,6,13,5,13,6,12,14,9,4,1,1,1,0,2,108,214,False,North,214,Lake
"Jan 2, 2013",Wednesday,0,0,2,0,1,3,0,3,3,4,13,12,8,5,7,10,17,9,8,6,1,1,3,0,116,214,False,North,214,Lake
"Jan 3, 2013",Thursday,1,0,1,0,2,2,0,3,3,5,8,19,11,11,8,10,15,17,13,4,2,2,0,1,138,214,False,North,214,Lake
"Jan 4, 2013",Friday,1,2,0,1,0,2,4,1,5,9,11,9,9,14,12,21,8,13,6,6,8,2,4,1,149,214,False,North,214,Lake
"Jan 5, 2013",Saturday,1,2,0,0,1,0,3,4,3,7,11,13,14,7,10,5,12,9,8,2,3,2,2,2,121,214,False,North,214,Lake
"Jan 6, 2013",Sunday,0,1,0,1,1,0,2,3,3,3,5,7,12,5,12,12,12,10,4,1,2,0,2,1,99,214,False,North,214,Lake
"Jan 7, 2013",Monday,0,0,0,0,0,1,3,3,3,9,9,10,5,9,12,8,13,8,3,7,2,1,0,4,110,214,False,North,214,Lake
"Jan 8, 2013",Tuesday,1,0,0,0,1,1,6,5,6,4,5,5,15,10,5,14,17,10,6,1,5,3,1,1,122,214,False,North,214,Lake
"Jan 9, 2013",Wednesday,1,1,1,1,0,4,1,3,5,5,9,4,13,7,13,9,10,2,5,4,4,1,2,1,106,214,False,North,214,Lake
"Jan 10, 2013",Thursday,2,0,0,1,0,3,3,9,4,7,9,12,6,5,13,13,17,7,15,2,2,2,0,0,132,214,False,North,214,Lake
"Jan 11, 2013",Friday,0,2,0,1,0,0,0,8,2,0,4,3,7,9,10,13,16,8,7,7,4,0,0,1,102,214,False,North,214,Lake
"Jan 12, 2013",Saturday,0,2,1,0,0,7,6,4,4,25,7,7,11,10,10,6,15,7,4,5,5,0,2,3,141,214,False,North,214,Lake
"Jan 13, 2013",Sunday,1,2,1,1,1,4,3,6,1,7,6,6,7,10,11,14,5,3,8,3,1,0,0,0,101,214,False,North,214,Lake
"Jan 14, 2013",Monday,1,1,0,0,0,2,2,6,6,7,1,7,13,11,6,13,13,7,5,1,4,0,3,0,109,214,False,North,214,Lake
"Jan 15, 2013",Tuesday,0,0,0,0,1,2,1,2,7,6,11,8,11,13,6,24,15,7,7,6,5,4,2,3,141,214,False,North,214,Lake
"Jan 16, 2013",Wednesday,1,0,0,1,1,4,3,2,6,3,4,10,11,7,6,8,12,6,7,4,1,5,1,2,105,214,False,North,214,Lake
"Jan 17, 2013",Thursday,1,1,0,0,0,1,1,4,9,3,7,7,12,5,7,11,11,9,4,6,9,3,4,5,120,214,False,North,214,Lake
"Jan 18, 2013",Friday,1,2,0,0,0,0,5,7,0,8,9,15,10,9,10,16,11,16,16,8,8,4,6,1,162,214,False,North,214,Lake
"Jan 19, 2013",Saturday,0,1,0,0,2,1,2,12,3,7,16,13,5,12,14,14,15,2,5,5,2,4,2,0,137,214,False,North,214,Lake
"Jan 20, 2013",Sunday,1,2,1,0,0,3,2,0,1,6,7,7,5,6,3,8,8,5,3,4,1,3,0,0,76,214,False,North,214,Lake
"Jan 21, 2013",Monday,1,0,1,0,0,1,0,2,3,3,2,8,8,7,7,5,7,5,8,4,1,0,1,2,76,214,False,North,214,Lake
"Jan 22, 2013",Tuesday,1,1,1,1,0,0,1,2,4,3,8,10,9,5,4,6,11,9,2,3,3,1,0,3,88,214,False,North,214,Lake
"Jan 23, 2013",Wednesday,0,0,0,1,0,1,1,1,5,3,9,8,5,7,2,13,12,6,7,5,2,2,2,1,93,214,False,North,214,Lake
"Jan 24, 2013",Thursday,1,0,1,1,0,2,1,1,4,12,10,16,14,9,9,6,27,11,10,5,6,2,3,0,151,214,False,North,214,Lake
"Jan 25, 2013",Friday,1,1,2,2,2,2,1,5,3,7,14,9,5,8,15,6,18,10,11,3,8,4,2,2,141,214,False,North,214,Lake
"Jan 26, 2013",Saturday,2,0,0,1,0,3,5,5,3,2,13,8,6,10,8,9,15,7,6,3,7,1,4,2,120,214,False,North,214,Lake
"Jan 27, 2013",Sunday,1,2,1,0,0,4,2,3,2,14,4,5,7,8,12,8,8,5,3,3,1,1,1,1,96,214,False,North,214,Lake
"Jan 28, 2013",Monday,0,0,0,1,0,3,5,3,7,6,6,11,10,8,8,13,12,11,6,7,3,2,1,0,123,214,False,North,214,Lake
"Jan 29, 2013",Tuesday,1,1,0,2,0,3,3,2,9,7,5,10,6,4,7,7,17,11,5,3,3,0,1,1,108,214,False,North,214,Lake
"Jan 30, 2013",Wednesday,1,0,2,0,0,3,3,8,7,6,12,6,9,4,5,9,23,9,10,4,1,2,2,2,128,214,False,North,214,Lake
"Jan 31, 2013",Thursday,1,0,1,1,0,2,0,3,10,5,4,6,11,9,16,9,15,5,15,3,3,6,7,3,135,214,False,North,214,Lake
"Jan 1, 2013",Tuesday,5,1,0,0,3,3,3,2,9,6,6,9,16,9,10,6,9,5,8,2,1,0,1,0,114,214,False,South,214,Lake
"Jan 2, 2013",Wednesday,1,0,0,0,6,7,6,9,5,8,11,12,4,16,10,14,11,6,2,2,1,0,1,0,132,214,False,South,214,Lake
"Jan 3, 2013",Thursday,0,1,0,2,3,5,4,8,4,7,4,12,11,14,12,9,8,6,5,2,3,5,3,2,130,214,False,South,214,Lake
"Jan 4, 2013",Friday,0,1,0,0,3,8,5,7,7,6,9,8,7,13,10,10,9,6,7,7,2,2,0,1,128,214,False,South,214,Lake
"Jan 5, 2013",Saturday,1,1,0,0,1,3,5,6,3,4,11,10,15,11,6,7,15,4,7,3,3,0,1,1,118,214,False,South,214,Lake
"Jan 6, 2013",Sunday,2,0,0,0,0,2,4,3,6,4,14,9,9,13,12,14,11,7,4,4,2,2,0,0,122,214,False,South,214,Lake
"Jan 7, 2013",Monday,1,0,0,0,1,6,5,12,8,4,6,4,10,15,8,13,8,6,3,0,0,0,1,0,111,214,False,South,214,Lake
"Jan 8, 2013",Tuesday,0,0,0,1,0,5,6,10,11,7,14,7,13,14,11,6,5,6,5,2,0,0,0,1,124,214,False,South,214,Lake
"Jan 9, 2013",Wednesday,2,1,0,1,2,7,3,7,6,6,6,11,12,6,2,6,5,10,2,2,1,0,0,0,98,214,False,South,214,Lake
"Jan 10, 2013",Thursday,0,0,0,1,3,6,9,5,9,5,7,8,15,9,11,11,5,5,5,2,3,2,7,1,129,214,False,South,214,Lake
"Jan 11, 2013",Friday,0,1,0,0,1,4,3,5,3,6,8,8,9,6,10,11,10,4,3,3,1,1,1,0,98,214,False,South,214,Lake
"Jan 12, 2013",Saturday,0,0,1,0,1,4,2,0,6,18,4,3,6,6,4,16,21,14,7,6,1,5,5,1,131,214,False,South,214,Lake
"Jan 13, 2013",Sunday,0,0,0,0,1,0,2,2,6,6,6,11,11,8,7,10,7,3,9,1,1,3,2,0,96,214,False,South,214,Lake
"Jan 14, 2013",Monday,0,0,0,0,0,6,5,4,9,6,8,9,9,10,10,7,7,4,0,4,3,2,0,0,103,214,False,South,214,Lake
"Jan 15, 2013",Tuesday,0,0,0,0,0,10,9,9,4,7,14,13,13,11,17,9,11,7,9,3,1,0,0,1,148,214,False,South,214,Lake
"Jan 16, 2013",Wednesday,1,0,0,0,2,8,7,5,7,4,7,9,11,10,7,9,5,7,6,1,1,2,1,0,110,214,False,South,214,Lake
"Jan 17, 2013",Thursday,0,0,0,0,0,8,6,7,6,5,8,8,8,8,3,11,4,11,4,3,0,1,5,0,106,214,False,South,214,Lake
"Jan 18, 2013",Friday,2,1,0,0,0,5,7,7,5,10,12,8,5,10,12,13,10,14,6,4,3,0,2,0,136,214,False,South,214,Lake
"Jan 19, 2013",Saturday,0,0,0,0,1,2,5,5,5,6,8,20,8,10,16,13,10,13,4,5,2,2,2,1,138,214,False,South,214,Lake
"Jan 20, 2013",Sunday,0,0,0,0,0,3,4,2,1,11,10,15,13,7,3,10,10,8,1,1,1,0,0,0,100,214,False,South,214,Lake
"Jan 21, 2013",Monday,0,0,0,0,2,2,4,3,6,5,17,9,6,14,10,3,2,5,1,1,0,0,1,0,91,214,False,South,214,Lake
"Jan 22, 2013",Tuesday,0,1,0,0,2,5,5,5,4,6,2,11,7,7,7,6,9,1,1,2,0,0,1,0,82,214,False,South,214,Lake
"Jan 23, 2013",Wednesday,0,0,0,0,1,9,7,7,8,4,9,8,6,11,3,7,4,10,2,2,0,0,0,0,98,214,False,South,214,Lake
"Jan 24, 2013",Thursday,0,0,0,0,0,7,5,6,4,6,10,13,13,14,8,15,9,6,4,3,3,1,0,6,133,214,False,South,214,Lake
"Jan 25, 2013",Friday,0,0,0,0,2,7,7,7,2,15,9,15,4,10,11,8,7,4,1,4,2,5,1,0,121,214,False,South,214,Lake
"Jan 26, 2013",Saturday,2,0,0,0,1,4,1,6,4,8,10,9,6,4,16,16,10,7,6,1,1,4,1,4,121,214,False,South,214,Lake
"Jan 27, 2013",Sunday,1,1,1,0,2,2,0,7,3,16,12,7,7,13,9,14,11,8,5,3,0,0,1,0,123,214,False,South,214,Lake
"Jan 28, 2013",Monday,0,0,0,0,1,7,4,11,5,11,10,6,10,9,9,12,10,12,5,3,1,1,0,1,128,214,False,South,214,Lake
"Jan 29, 2013",Tuesday,0,1,0,0,2,7,6,8,7,2,9,6,5,11,7,9,8,9,3,3,1,1,0,0,105,214,False,South,214,Lake
"Jan 30, 2013",Wednesday,0,0,1,0,1,7,10,4,5,5,9,9,12,8,13,7,11,12,3,3,3,1,0,0,124,214,False,South,214,Lake
"Jan 31, 2013",Thursday,0,0,0,0,0,6,7,5,9,8,8,4,7,10,15,8,13,5,4,3,4,0,3,3,122,214,False,South,214,Lake
"Feb 1, 2013",Friday,0,0,2,1,0,0,3,3,5,2,11,8,5,12,16,14,14,13,7,7,2,10,2,1,138,214,False,North,214,Lake
"Feb 2, 2013",Saturday,2,1,1,0,0,0,1,1,9,11,6,10,7,11,11,11,14,15,15,2,3,3,2,2,138,214,False,North,214,Lake
"Feb 3, 2013",Sunday,0,2,0,0,0,2,3,0,6,9,3,11,11,9,10,7,6,6,3,4,1,1,5,1,100,214,False,North,214,Lake
"Feb 4, 2013",Monday,0,1,1,0,0,1,1,4,10,5,11,5,10,5,9,15,7,9,10,2,6,1,0,2,115,214,False,North,214,Lake
"Feb 5, 2013",Tuesday,1,0,0,2,0,3,2,4,8,10,10,8,12,11,12,8,17,8,5,5,3,2,4,2,137,214,False,North,214,Lake
"Feb 6, 2013",Wednesday,1,0,0,1,1,2,4,4,5,7,16,11,7,4,9,4,14,6,6,5,4,1,1,0,113,214,False,North,214,Lake
"Feb 7, 2013",Thursday,1,1,1,1,1,2,1,4,6,4,9,10,9,5,7,8,20,13,15,2,4,4,2,0,130,214,False,North,214,Lake
"Feb 8, 2013",Friday,3,2,2,2,2,0,2,6,8,15,7,8,7,16,14,9,19,10,6,7,6,9,2,2,164,214,False,North,214,Lake
"Feb 9, 2013",Saturday,2,1,1,0,1,2,2,3,7,9,17,10,6,7,10,9,10,12,6,5,3,5,2,2,132,214,False,North,214,Lake
