DATE,DAY,1 am,2 am,3 am,4 am,5 am,6 am,7 am,8 am,9 am,10 am,11 am,Noon,1 pm,2 pm,3 pm,4 pm,5 pm,6 pm,7 pm,8 pm,9 pm,10 pm,11 pm,12 mid,TOTAL,Station number,Estimated,Direction,STATION,COUNTY,RETIRED
"Jan 1, 2013",Tuesday,223,177,114,63,42,39,66,80,112,224,301,413,482,513,596,573,590,530,516,402,305,212,121,85,6779,425,False,East,425,Dakota,False
"Jan 2, 2013",Wednesday,60,41,20,26,50,137,277,450,391,452,395,513,554,539,669,924,1127,1401,893,582,455,356,198,129,10639,425,False,East,425,Dakota,False
"Jan 3, 2013",Thursday,79,60,38,31,57,122,282,466,405,405,388,474,539,568,664,948,1160,1435,977,610,529,391,225,115,10968,425,False,East,425,Dakota,False
"Jan 4, 2013",Friday,95,45,44,26,52,107,256,455,407,452,422,560,593,645,777,951,1212,1399,924,665,535,478,324,262,11686,425,False,East,425,Dakota,False
"Jan 5, 2013",Saturday,116,90,57,29,23,36,122,182,305,474,536,687,722,760,791,764,821,788,730,377,288,336,356,206,9596,425,False,East,425,Dakota,False
"Jan 6, 2013",Sunday,134,88,57,28,19,30,55,122,217,388,478,537,683,667,675,703,768,646,544,454,352,250,160,86,8141,425,False,East,425,Dakota,False
"Jan 7, 2013",Monday,52,41,26,24,50,128,259,461,422,461,352,498,558,532,643,987,1301,1434,985,586,479,370,227,107,10983,425,False,East,425,Dakota,False
"Jan 8, 2013",Tuesday,58,39,40,25,42,150,289,470,447,425,365,520,526,560,686,959,1238,1388,909,618,567,437,235,118,11111,425,False,East,425,Dakota,False
"Jan 9, 2013",Wednesday,66,44,30,27,54,142,279,523,437,448,372,552,566,544,690,952,1226,1391,1006,677,570,388,239,117,11340,425,False,East,425,Dakota,False
"Jan 10, 2013",Thursday,74,47,36,32,47,115,282,502,445,434,396,515,533,538,639,978,1206,1323,986,598,515,454,232,161,11088,425,False,East,425,Dakota,False
"Jan 11, 2013",Friday,92,45,31,33,52,122,246,410,427,470,419,538,617,615,774,933,1156,1235,842,659,549,510,325,254,11354,425,False,East,425,Dakota,False
"Jan 12, 2013",Saturday,149,85,66,37,28,60,108,158,344,411,506,619,652,684,758,749,708,726,639,458,424,413,343,262,9387,425,False,East,425,Dakota,False
"Jan 13, 2013",Sunday,161,99,68,33,13,37,55,120,226,392,502,527,651,594,637,643,727,648,577,401,324,276,142,80,7933,425,False,East,425,Dakota,False
"Jan 14, 2013",Monday,53,34,31,35,47,116,278,587,445,428,403,519,485,495,663,883,1182,1401,1001,589,508,384,179,101,10847,425,False,East,425,Dakota,False
"Jan 15, 2013",Tuesday,74,34,42,27,62,131,281,500,412,421,384,476,530,515,660,940,1231,1280,998,699,569,429,201,117,11013,425,False,East,425,Dakota,False
"Jan 16, 2013",Wednesday,65,47,27,21,56,148,285,491,476,467,390,486,540,527,655,921,1172,1308,999,623,565,417,215,125,11026,425,False,East,425,Dakota,False
"Jan 17, 2013",Thursday,61,46,38,24,55,133,281,493,424,430,395,477,553,542,653,924,1193,1283,967,617,558,459,265,124,10995,425,False,East,425,Dakota,False
"Jan 18, 2013",Friday,71,40,32,40,42,111,250,498,444,475,398,582,592,570,733,991,1165,1241,892,692,551,538,378,252,11578,425,False,East,425,Dakota,False
"Jan 19, 2013",Saturday,159,89,63,30,23,44,124,171,362,450,545,684,784,739,697,753,754,729,630,463,384,412,289,264,9642,425,False,East,425,Dakota,False
"Jan 20, 2013",Sunday,139,99,74,40,11,37,46,109,188,362,429,528,594,635,582,616,650,601,526,429,298,271,198,111,7573,425,False,East,425,Dakota,False
"Jan 21, 2013",Monday,67,34,21,29,55,84,154,252,272,324,412,468,554,587,684,792,1072,1174,821,484,397,333,161,99,9330,425,False,East,425,Dakota,False
"Jan 22, 2013",Tuesday,51,30,19,29,56,114,270,480,372,414,345,475,476,478,634,871,1179,1302,860,594,482,398,238,102,10269,425,False,East,425,Dakota,False
"Jan 23, 2013",Wednesday,62,31,30,26,43,136,271,486,437,409,393,523,504,510,618,892,1127,1355,975,610,532,387,204,113,10674,425,False,East,425,Dakota,False
"Jan 24, 2013",Thursday,62,40,29,25,51,114,278,507,435,407,365,458,506,532,630,925,1145,1290,909,600,525,445,241,151,10670,425,False,East,425,Dakota,False
"Jan 25, 2013",Friday,69,55,35,26,43,108,243,377,402,395,456,523,631,576,736,887,1090,1188,885,588,535,495,353,197,10893,425,False,East,425,Dakota,False
"Jan 26, 2013",Saturday,120,73,59,22,31,40,111,190,350,398,496,652,668,717,713,740,762,692,664,492,465,466,337,207,9465,425,False,East,425,Dakota,False
"Jan 27, 2013",Sunday,146,85,68,31,25,37,66,131,206,353,473,531,700,537,450,486,430,422,362,274,241,221,166,141,6582,425,False,East,425,Dakota,False
"Jan 28, 2013",Monday,76,50,52,45,76,184,293,464,383,421,395,449,497,471,626,858,1190,1329,1016,660,485,351,181,99,10651,425,False,East,425,Dakota,False
"Jan 29, 2013",Tuesday,56,27,34,23,43,146,269,507,392,384,309,463,490,524,640,923,1185,1303,945,613,524,392,264,126,10582,425,False,East,425,Dakota,False
"Jan 30, 2013",Wednesday,69,32,24,22,53,137,292,528,428,405,376,542,511,544,615,884,1273,1336,986,617,527,406,239,121,10967,425,False,East,425,Dakota,False
"Jan 31, 2013",Thursday,72,46,37,31,49,126,275,479,422,401,351,448,479,489,644,899,1124,1301,924,641,512,490,239,121,10600,425,False,East,425,Dakota,False
"Jan 1, 2013",Tuesday,189,150,105,52,37,52,83,99,171,272,386,542,579,590,620,569,550,438,418,321,246,175,109,70,6823,425,False,West,425,Dakota,False
