DATE,DAY,1 am,2 am,3 am,4 am,5 am,6 am,7 am,8 am,9 am,10 am,11 am,Noon,1 pm,2 pm,3 pm,4 pm,5 pm,6 pm,7 pm,8 pm,9 pm,10 pm,11 pm,12 mid,TOTAL,Station number,Estimated,Direction,STATION,COUNTY,RETIRED
"Jan 1, 2013",Tuesday,3,4,2,0,0,0,2,2,2,1,2,8,10,10,8,8,6,6,5,5,3,0,2,2,91,51,False,East,51,Hubbard,False
"Jan 2, 2013",Wednesday,0,0,0,0,0,0,2,6,5,3,6,15,7,13,8,16,12,11,5,6,6,1,1,0,123,51,False,East,51,Hubbard,False
"Jan 3, 2013",Thursday,0,0,1,0,0,0,2,6,4,5,7,7,9,12,7,14,8,13,6,4,1,4,2,3,115,51,True,East,51,Hubbard,False
"Jan 4, 2013",Friday,2,0,0,0,0,0,4,6,4,4,7,12,7,8,10,16,13,7,4,10,3,4,3,4,128,51,False,East,51,Hubbard,False
"Jan 5, 2013",Saturday,3,0,0,1,0,0,2,1,2,5,9,13,15,18,11,19,14,22,11,9,1,4,3,1,164,51,False,East,51,Hubbard,False
"Jan 6, 2013",Sunday,3,1,1,0,0,0,0,3,2,8,8,8,11,13,8,10,5,10,3,3,3,1,3,2,106,51,False,East,51,Hubbard,False
"Jan 7, 2013",Monday,0,0,0,0,0,0,2,6,6,2,7,12,5,12,12,10,10,14,6,5,5,4,3,1,122,51,False,East,51,Hubbard,False
"Jan 8, 2013",Tuesday,0,0,0,0,0,0,2,6,3,3,8,9,8,10,13,7,13,14,7,3,3,6,0,2,117,51,False,East,51,Hubbard,False
"Jan 9, 2013",Wednesday,1,0,0,1,0,0,1,7,6,4,9,7,8,9,9,10,13,11,5,6,7,2,1,1,118,51,False,East,51,Hubbard,False
"Jan 10, 2013",Thursday,0,0,0,0,0,0,1,6,3,3,11,12,11,4,8,11,6,11,5,9,3,5,5,0,114,51,False,East,51,Hubbard,False
"Jan 11, 2013",Friday,0,0,0,0,1,1,1,2,0,4,8,6,5,12,12,4,4,4,4,4,1,4,2,2,81,51,False,East,51,Hubbard,False
"Jan 12, 2013",Saturday,1,0,0,0,0,0,1,1,2,2,11,12,7,7,8,9,7,4,9,4,1,0,0,4,90,51,False,East,51,Hubbard,False
"Jan 13, 2013",Sunday,1,2,0,2,1,1,2,5,0,3,6,8,12,9,4,8,7,9,6,4,3,2,3,1,99,51,False,East,51,Hubbard,False
"Jan 14, 2013",Monday,0,1,0,0,0,0,1,3,8,6,4,10,3,8,8,10,10,11,3,10,5,3,1,1,106,51,False,East,51,Hubbard,False
"Jan 15, 2013",Tuesday,0,1,0,0,0,1,3,4,3,6,8,3,5,9,8,17,6,8,4,5,4,2,0,0,97,51,False,East,51,Hubbard,False
"Jan 16, 2013",Wednesday,0,0,0,0,1,0,3,5,5,2,4,6,3,4,10,12,16,9,4,4,9,5,0,0,102,51,False,East,51,Hubbard,False
"Jan 17, 2013",Thursday,0,0,0,0,0,1,2,6,3,6,3,11,8,6,8,11,10,10,5,1,3,7,2,1,104,51,False,East,51,Hubbard,False
"Jan 18, 2013",Friday,1,0,0,0,0,1,1,5,3,3,4,12,5,7,10,17,11,16,10,2,9,6,4,3,130,51,False,East,51,Hubbard,False
"Jan 19, 2013",Saturday,4,0,0,0,0,0,2,2,2,4,13,7,11,12,8,4,9,8,7,3,3,2,3,1,105,51,False,East,51,Hubbard,False
"Jan 20, 2013",Sunday,2,0,0,0,0,0,0,3,4,2,8,5,11,12,2,9,3,7,3,3,1,2,3,1,81,51,False,East,51,Hubbard,False
"Jan 21, 2013",Monday,0,6,9,0,2,0,1,6,5,4,12,3,7,8,9,5,7,6,6,5,3,3,2,2,111,51,False,East,51,Hubbard,False
"Jan 22, 2013",Tuesday,0,0,0,0,0,1,0,6,3,4,1,5,7,12,6,7,12,5,5,2,4,3,1,0,84,51,False,East,51,Hubbard,False
"Jan 23, 2013",Wednesday,0,0,0,0,0,0,1,6,6,1,9,5,9,7,7,12,6,9,2,7,3,2,2,0,94,51,False,East,51,Hubbard,False
"Jan 24, 2013",Thursday,0,0,0,0,1,0,1,1,3,9,6,9,6,5,12,11,8,5,6,3,4,3,2,2,97,51,False,East,51,Hubbard,False
"Jan 25, 2013",Friday,0,0,0,0,1,0,2,4,1,4,11,8,12,6,12,9,5,4,10,3,7,6,8,0,113,51,False,East,51,Hubbard,False
"Jan 26, 2013",Saturday,1,2,0,0,0,0,3,2,3,5,9,13,9,13,13,10,9,3,6,6,4,3,4,2,120,51,False,East,51,Hubbard,False
"Jan 27, 2013",Sunday,1,0,1,0,0,0,1,3,5,6,9,7,10,7,17,13,7,8,5,6,3,3,0,1,113,51,False,East,51,Hubbard,False
"Jan 28, 2013",Monday,2,0,2,0,0,0,2,16,12,3,4,6,6,4,10,11,4,6,9,8,2,7,3,1,118,51,False,East,51,Hubbard,False
"Jan 29, 2013",Tuesday,1,1,1,0,0,0,1,3,5,5,12,5,4,8,10,6,17,8,8,9,2,7,2,2,117,51,False,East,51,Hubbard,False
"Jan 30, 2013",Wednesday,0,0,0,0,0,1,0,1,2,7,12,8,17,7,10,7,13,11,11,3,6,2,0,0,118,51,False,East,51,Hubbard,False
"Jan 31, 2013",Thursday,0,1,0,0,0,0,0,0,3,3,2,9,6,6,8,10,9,13,5,1,3,8,0,0,87,51,False,East,51,Hubbard,False
"Jan 1, 2013",Tuesday,6,2,2,0,0,2,1,1,1,1,6,11,9,12,13,7,3,10,8,4,5,2,1,0,107,51,False,West,51,Hubbard,False
"Jan 2, 2013",Wednesday,1,0,0,0,0,1,9,14,8,7,11,20,9,9,16,12,10,21,6,3,2,1,1,0,161,51,False,West,51,Hubbard,False
"Jan 3, 2013",Thursday,1,0,0,0,0,1,4,12,8,11,12,7,6,10,8,7,3,9,9,5,3,0,6,1,123,51,True,West,51,Hubbard,False
"Jan 4, 2013",Friday,0,0,0,0,0,0,9,13,6,9,16,8,4,9,9,8,14,12,8,4,5,0,2,2,138,51,False,West,51,Hubbard,False
"Jan 5, 2013",Saturday,0,0,1,1,0,2,3,4,5,8,14,15,7,14,8,5,18,15,13,9,10,8,6,2,168,51,False,West,51,Hubbard,False
"Jan 6, 2013",Sunday,2,2,0,0,1,0,3,7,5,7,13,10,4,6,14,12,5,9,11,4,5,1,1,0,122,51,False,West,51,Hubbard,False
