DATE,DAY,1 am,2 am,3 am,4 am,5 am,6 am,7 am,8 am,9 am,10 am,11 am,Noon,1 pm,2 pm,3 pm,4 pm,5 pm,6 pm,7 pm,8 pm,9 pm,10 pm,11 pm,12 mid,TOTAL,Station number,Estimated,Direction
"Jan 1, 2003",Wednesday,192,204,101,63,38,56,78,140,230,379,561,653,754,810,802,883,899,754,624,533,371,277,180,140,9722,188,False,North
"Jan 2, 2003",Thursday,92,56,41,56,104,214,373,515,555,562,665,708,734,810,929,1163,1410,1475,877,585,525,480,318,204,13451,188,False,North
"Jan 3, 2003",Friday,133,94,70,62,86,219,314,504,578,644,721,837,808,955,1137,1401,1698,1656,1057,719,540,573,371,302,15479,188,False,North
"Jan 4, 2003",Saturday,176,104,68,49,63,96,167,253,459,612,612,660,711,730,867,885,884,779,667,516,390,390,285,210,10633,188,False,North
"Jan 5, 2003",Sunday,172,81,59,29,40,62,93,165,288,421,645,784,901,905,1069,1059,1152,985,775,573,466,352,242,120,11438,188,False,North
"Jan 6, 2003",Monday,76,43,44,49,123,243,432,592,578,603,574,670,689,702,889,1101,1434,1490,897,553,506,434,281,195,13198,188,False,North
"Jan 7, 2003",Tuesday,93,89,48,58,89,206,401,593,623,604,627,658,759,754,903,1168,1561,1487,855,630,513,509,319,185,13732,188,False,North
"Jan 8, 2003",Wednesday,113,87,53,53,101,235,429,611,590,603,677,757,768,812,902,1140,1483,1564,983,614,580,495,325,213,14188,188,False,North
"Jan 9, 2003",Thursday,100,90,68,68,84,221,418,620,568,621,660,706,662,786,971,1185,1489,1499,955,668,561,489,331,211,14031,188,False,North
"Jan 10, 2003",Friday,123,88,66,57,107,228,371,599,581,642,624,840,829,932,1030,1487,1836,1747,1062,755,629,598,380,302,15913,188,False,North
"Jan 11, 2003",Saturday,181,114,86,56,48,126,213,354,583,759,924,922,948,912,966,1042,1030,956,782,599,476,447,381,256,13161,188,False,North
"Jan 12, 2003",Sunday,190,108,56,46,32,49,109,152,269,456,674,802,940,862,943,1004,1031,966,754,679,493,380,229,114,11338,188,False,North
"Jan 13, 2003",Monday,78,56,44,56,83,256,418,589,557,539,630,605,648,698,835,1034,1311,1296,807,503,415,399,283,177,12317,188,False,North
"Jan 14, 2003",Tuesday,84,78,48,68,79,214,393,504,544,544,529,653,620,720,831,1106,1359,1439,891,634,531,410,306,193,12778,188,False,North
"Jan 15, 2003",Wednesday,134,91,62,59,103,229,399,573,504,563,596,663,718,773,911,1154,1399,1437,922,601,629,484,279,194,13477,188,False,North
"Jan 16, 2003",Thursday,127,100,58,58,93,235,409,616,572,587,614,709,723,838,923,1208,1499,1509,1001,690,578,516,313,232,14208,188,False,North
"Jan 17, 2003",Friday,114,100,62,60,103,237,376,566,581,632,714,769,911,983,1164,1429,1767,1756,1213,806,633,571,439,244,16230,188,False,North
"Jan 18, 2003",Saturday,147,127,75,52,61,112,180,374,531,726,977,999,978,1021,975,1040,1051,906,696,606,454,458,337,209,13092,188,False,North
"Jan 19, 2003",Sunday,145,84,47,40,35,53,91,175,261,445,675,812,964,936,1029,1000,915,1104,763,558,435,319,232,129,11247,188,False,North
"Jan 20, 2003",Monday,104,52,41,59,100,196,326,504,565,623,729,704,786,807,993,1165,1402,1420,944,590,481,443,241,177,13452,188,False,North
"Jan 21, 2003",Tuesday,109,87,44,64,107,225,390,587,545,561,551,619,668,736,873,1143,1497,1424,889,638,513,476,271,184,13201,188,False,North
"Jan 22, 2003",Wednesday,87,70,73,62,86,229,398,586,548,518,510,590,625,746,876,1092,1365,1383,891,600,543,443,292,179,12792,188,False,North
"Jan 23, 2003",Thursday,108,81,57,64,116,213,388,604,476,533,578,655,676,751,887,1176,1381,1430,968,584,561,463,306,230,13286,188,False,North
"Jan 24, 2003",Friday,122,99,68,63,97,224,410,520,512,616,650,767,845,1030,1094,1403,1773,1636,1085,698,593,522,409,239,15475,188,False,North
"Jan 25, 2003",Saturday,150,117,75,40,50,102,240,386,677,838,978,1000,1030,964,1040,1013,1098,911,688,552,424,457,304,231,13365,188,False,North
"Jan 26, 2003",Sunday,138,84,64,42,43,47,77,210,299,446,588,757,929,956,1031,1061,1070,739,556,448,373,411,288,161,10818,188,False,North
"Jan 27, 2003",Monday,95,58,50,54,92,214,385,543,550,567,635,627,616,633,864,1016,1302,1379,829,569,478,417,254,151,12378,188,False,North
