DATE|DAY|1 am|2 am|3 am|4 am|5 am|6 am|7 am|8 am|9 am|10 am|11 am|Noon|1 pm|2 pm|3 pm|4 pm|5 pm|6 pm|7 pm|8 pm|9 pm|10 pm|11 pm|12 mid|TOTAL|Station number|Estimated|Direction
Jan 1, 2008|Tuesday|12|11|8|4|3|7|12|11|28|41|48|66|67|63|65|56|58|52|39|26|19|17|7|6|726|410|False|North
Jan 2, 2008|Wednesday|1|3|4|5|18|81|171|172|119|73|72|83|57|70|56|55|62|65|63|41|20|19|13|5|1328|410|False|North
Jan 3, 2008|Thursday|7|4|2|5|15|87|167|177|108|62|64|58|61|61|66|75|73|53|67|29|25|22|12|5|1305|410|False|North
Jan 4, 2008|Friday|6|1|4|4|16|89|169|185|114|62|67|66|65|59|60|85|89|91|59|38|28|25|30|13|1425|410|False|North
Jan 5, 2008|Saturday|8|1|7|6|2|12|25|54|61|68|97|99|102|92|91|92|79|72|52|40|41|28|21|15|1165|410|False|North
Jan 6, 2008|Sunday|11|8|5|2|3|8|16|23|56|63|74|75|70|63|75|77|68|56|42|29|23|20|10|7|884|410|False|North
Jan 7, 2008|Monday|2|2|1|3|16|89|171|191|124|84|53|61|57|63|82|61|67|59|53|43|27|14|5|2|1330|410|False|North
Jan 8, 2008|Tuesday|2|3|2|5|16|83|174|191|141|64|68|56|54|55|57|66|72|79|63|40|24|27|11|6|1359|410|False|North
Jan 9, 2008|Wednesday|3|2|2|5|14|75|187|181|122|78|56|67|67|53|76|64|60|82|55|40|33|21|8|10|1361|410|False|North
Jan 10, 2008|Thursday|3|2|4|6|22|84|165|198|105|51|54|70|63|61|59|68|80|60|59|31|26|19|12|12|1314|410|False|North
Jan 11, 2008|Friday|12|3|4|4|12|80|168|176|145|70|59|68|70|55|69|77|86|77|51|39|19|20|23|18|1405|410|False|North
Jan 12, 2008|Saturday|11|6|8|2|6|24|24|43|80|80|78|83|77|72|83|77|78|85|48|34|30|18|25|16|1088|410|False|North
Jan 13, 2008|Sunday|12|5|6|2|6|12|14|28|68|89|93|84|73|66|82|68|67|70|48|42|33|16|7|3|994|410|False|North
Jan 14, 2008|Monday|3|1|1|4|13|84|168|172|129|77|61|72|53|49|56|74|78|71|50|22|22|25|5|7|1297|410|False|North
Jan 15, 2008|Tuesday|5|1|5|4|14|85|181|183|121|70|61|64|59|55|66|77|59|70|53|29|23|19|9|3|1316|410|False|North
Jan 16, 2008|Wednesday|5|2|3|6|18|88|178|179|134|65|66|70|74|51|70|55|87|65|60|24|29|21|11|8|1369|410|False|North
Jan 17, 2008|Thursday|3|3|4|6|14|79|171|168|141|81|65|51|53|71|46|65|78|71|64|46|26|19|16|13|1354|410|False|North
Jan 18, 2008|Friday|3|6|3|4|15|81|166|176|112|65|63|61|72|59|61|67|77|76|63|33|30|23|14|15|1345|410|False|North
Jan 19, 2008|Saturday|11|2|6|1|6|14|21|48|58|66|68|89|76|74|68|57|77|65|50|28|29|27|19|12|972|410|False|North
Jan 20, 2008|Sunday|14|7|4|2|5|9|14|17|48|54|90|74|53|66|64|56|56|65|29|31|24|24|15|6|827|410|False|North
Jan 21, 2008|Monday|2|4|4|3|18|66|134|145|96|68|52|60|70|70|47|49|50|55|45|36|23|12|14|4|1127|410|False|North
Jan 22, 2008|Tuesday|5|2|4|6|18|86|166|171|138|60|59|61|50|50|55|48|87|46|49|37|18|21|9|11|1257|410|False|North
Jan 23, 2008|Wednesday|4|0|2|5|21|89|170|184|126|51|74|56|47|49|55|61|72|67|72|24|27|12|9|6|1283|410|False|North
Jan 24, 2008|Thursday|4|0|3|4|18|73|166|169|120|75|65|60|50|40|64|59|69|61|51|42|21|19|22|12|1267|410|False|North
Jan 25, 2008|Friday|4|2|5|4|18|72|148|169|117|84|67|80|65|72|76|70|97|57|55|39|27|21|12|13|1374|410|False|North
Jan 26, 2008|Saturday|9|9|2|6|5|20|22|43|70|84|75|81|80|91|68|58|83|66|57|29|42|39|26|11|1076|410|False|North
Jan 27, 2008|Sunday|11|7|4|7|1|8|16|20|49|79|87|89|69|87|80|80|55|74|56|44|33|12|9|3|980|410|False|North
Jan 28, 2008|Monday|3|3|3|2|21|82|170|192|125|62|57|70|54|62|74|66|83|56|68|19|29|9|10|3|1323|410|False|North
Jan 29, 2008|Tuesday|4|1|3|3|20|97|166|191|125|66|56|61|51|51|65|58|63|45|39|26|17|11|4|3|1226|410|False|North
Jan 30, 2008|Wednesday|3|2|3|4|17|74|170|177|113|60|55|65|36|57|62|75|59|62|59|22|30|19|14|7|1245|410|False|North
Jan 31, 2008|Thursday|4|3|4|6|16|76|172|190|107|69|54|52|63|63|72|85|71|58|56|31|30|24|16|20|1342|410|False|North
Jan 1, 2008|Tuesday|21|25|16|5|6|3|7|7|20|25|40|49|60|54|89|82|62|70|47|45|17|15|14|9|788|410|False|South
Jan 2, 2008|Wednesday|9|2|4|2|4|7|11|45|38|41|53|54|61|73|99|140|186|189|112|74|65|34|19|13|1335|410|False|South
Jan 3, 2008|Thursday|6|7|10|3|1|9|13|33|38|40|37|54|64|59|86|137|210|193|121|73|63|50|27|15|1349|410|False|South
Jan 4, 2008|Friday|7|5|11|3|3|8|13|34|49|56|36|55|71|75|119|179|197|191|98|71|65|45|46|38|1475|410|False|South
Jan 5, 2008|Saturday|19|12|8|5|2|2|5|24|37|50|78|81|88|89|84|119|101|94|73|47|50|50|29|34|1181|410|False|South
Jan 6, 2008|Sunday|25|6|9|4|2|4|4|14|32|41|36|67|89|79|85|79|88|65|49|58|27|31|17|9|920|410|False|South
Jan 7, 2008|Monday|6|7|4|1|1|6|13|28|54|41|44|55|53|82|87|162|193|188|108|76|48|54|25|11|1347|410|False|South
Jan 8, 2008|Tuesday|15|4|7|2|2|11|12|31|37|45|50|47|60|57|86|157|189|196|116|105|67|58|28|11|1393|410|False|South
Jan 9, 2008|Wednesday|11|6|4|0|3|5|8|36|35|53|44|46|59|64|99|171|199|195|109|77|91|44|23|14|1396|410|False|South
