DATE|DAY|1 am|2 am|3 am|4 am|5 am|6 am|7 am|8 am|9 am|10 am|11 am|Noon|1 pm|2 pm|3 pm|4 pm|5 pm|6 pm|7 pm|8 pm|9 pm|10 pm|11 pm|12 mid|TOTAL|Station number|Estimated|Direction
Jan 1, 2008|Tuesday|8|3|4|1|1|0|1|5|7|7|17|15|4|9|15|17|21|16|13|8|11|4|7|1|195|218|False|North
Jan 2, 2008|Wednesday|2|2|0|1|8|17|10|15|20|13|17|13|11|18|11|23|26|30|15|11|6|4|1|2|276|218|False|North
Jan 3, 2008|Thursday|1|2|1|3|5|15|11|20|17|13|20|14|13|22|21|33|39|43|18|11|7|9|6|7|351|218|False|North
Jan 4, 2008|Friday|1|5|2|1|5|16|15|14|21|20|17|16|24|31|29|34|46|71|54|19|9|6|8|4|468|218|True|North
Jan 5, 2008|Saturday|4|1|6|0|4|6|7|16|40|43|33|25|21|12|17|16|19|21|11|12|7|9|10|6|346|218|False|North
Jan 6, 2008|Sunday|5|1|4|6|1|1|2|5|7|10|11|17|18|18|12|30|35|25|16|13|8|6|3|5|259|218|False|North
Jan 7, 2008|Monday|2|3|0|3|6|12|13|18|17|16|18|20|24|17|30|25|25|22|13|13|6|10|2|4|319|218|False|North
Jan 8, 2008|Tuesday|4|3|0|1|5|16|16|13|12|11|20|11|22|21|25|21|29|21|20|9|6|12|8|2|308|218|False|North
Jan 9, 2008|Wednesday|5|2|2|2|7|15|15|15|18|12|21|14|17|21|21|19|24|17|16|10|6|6|1|2|288|218|False|North
Jan 10, 2008|Thursday|1|1|0|2|5|22|11|18|16|17|20|16|21|20|17|34|29|29|10|10|7|14|2|5|327|218|False|North
Jan 11, 2008|Friday|3|3|2|2|7|12|14|20|26|31|19|25|28|30|40|40|45|33|19|9|20|10|6|6|450|218|False|North
Jan 12, 2008|Saturday|3|4|3|3|4|0|6|10|20|26|19|19|16|18|16|15|20|21|9|8|10|14|5|7|276|218|False|North
Jan 13, 2008|Sunday|6|1|0|2|0|1|1|3|5|11|9|18|12|21|20|31|31|24|17|16|6|8|6|0|249|218|False|North
Jan 14, 2008|Monday|2|2|1|1|5|12|18|18|22|15|13|14|11|22|17|22|23|14|17|1|2|7|3|1|263|218|False|North
Jan 15, 2008|Tuesday|2|2|0|1|4|16|16|29|24|12|17|10|18|15|24|24|36|29|15|11|6|22|9|4|346|218|False|North
