DATE,DAY,1 am,2 am,3 am,4 am,5 am,6 am,7 am,8 am,9 am,10 am,11 am,Noon,1 pm,2 pm,3 pm,4 pm,5 pm,6 pm,7 pm,8 pm,9 pm,10 pm,11 pm,12 mid,TOTAL,Station number,Estimated,Direction,STATION,COUNTY
"Jan 1, 2005",Saturday,268,218,151,84,43,53,40,56,124,231,348,460,543,543,540,593,547,469,417,333,287,267,214,152,6981,425,False,East,425,Dakota
"Jan 2, 2005",Sunday,111,60,47,39,23,47,47,101,171,346,429,552,637,590,593,709,781,706,668,519,419,298,150,119,8162,425,False,East,425,Dakota
"Jan 3, 2005",Monday,92,42,31,30,38,133,225,404,369,423,447,561,575,571,768,1051,1326,1458,1050,671,558,429,226,164,11642,425,False,East,425,Dakota
"Jan 4, 2005",Tuesday,72,43,30,28,42,134,271,467,412,431,393,520,571,559,670,980,1309,1486,1043,708,581,511,245,136,11642,425,True,East,425,Dakota
"Jan 5, 2005",Wednesday,90,59,46,27,20,122,256,429,373,452,364,521,524,562,653,1008,1348,1493,1118,743,669,483,247,122,11729,425,False,East,425,Dakota
"Jan 6, 2005",Thursday,55,46,39,14,39,81,175,435,346,419,384,521,572,503,704,1020,1235,1417,1100,766,645,512,277,178,11483,425,False,East,425,Dakota
"Jan 7, 2005",Friday,86,63,51,32,41,136,219,405,367,401,407,598,610,604,762,1114,1272,1392,964,711,528,631,422,344,12160,425,False,East,425,Dakota
"Jan 8, 2005",Saturday,208,107,83,53,26,54,124,201,343,442,587,712,792,773,847,852,898,826,726,516,513,489,372,333,10877,425,False,East,425,Dakota
"Jan 9, 2005",Sunday,162,100,75,41,28,50,69,113,218,384,503,606,746,777,836,779,559,522,449,566,411,352,197,118,8661,425,False,East,425,Dakota
"Jan 10, 2005",Monday,80,37,37,23,41,141,275,480,422,432,345,470,555,507,663,958,1286,1462,1052,671,514,437,251,132,11271,425,True,East,425,Dakota
"Jan 11, 2005",Tuesday,73,38,42,29,52,125,299,472,389,428,375,541,563,539,718,986,1406,1513,1017,740,687,545,266,123,11966,425,False,East,425,Dakota
"Jan 12, 2005",Wednesday,88,48,40,27,46,139,277,474,405,446,407,490,496,531,675,1003,1379,1461,1052,726,626,539,257,163,11795,425,False,East,425,Dakota
"Jan 13, 2005",Thursday,86,65,46,24,44,140,267,455,409,443,374,533,571,492,667,960,1250,1416,1011,636,587,511,270,135,11392,425,False,East,425,Dakota
"Jan 14, 2005",Friday,91,55,42,34,39,145,255,469,511,447,405,545,595,608,775,1030,1261,1391,990,695,541,591,388,307,12210,425,True,East,425,Dakota
"Jan 15, 2005",Saturday,179,82,64,26,20,48,63,207,318,460,540,628,673,665,755,746,831,744,691,535,411,495,330,282,9793,425,False,East,425,Dakota
"Jan 16, 2005",Sunday,212,125,91,44,31,35,65,112,217,358,482,613,725,713,729,745,739,707,590,511,411,324,180,129,8888,425,True,East,425,Dakota
"Jan 17, 2005",Monday,77,28,16,19,26,85,175,283,298,407,453,589,607,668,788,980,1226,1283,996,662,506,394,191,128,10885,425,True,East,425,Dakota
"Jan 18, 2005",Tuesday,67,43,33,32,44,140,282,493,403,441,408,526,541,511,700,1004,1310,1545,1060,716,619,530,266,156,11870,425,True,East,425,Dakota
"Jan 19, 2005",Wednesday,69,53,43,29,50,134,269,452,360,412,398,506,536,535,711,1011,1346,1454,1046,766,670,485,250,146,11731,425,False,East,425,Dakota
"Jan 20, 2005",Thursday,85,53,27,26,42,141,262,523,617,410,342,503,545,482,678,932,1218,1394,1037,706,750,571,307,150,11801,425,False,East,425,Dakota
"Jan 21, 2005",Friday,93,54,56,41,52,121,246,425,374,435,382,569,593,580,684,828,894,894,700,587,391,391,272,196,9858,425,False,East,425,Dakota
"Jan 22, 2005",Saturday,138,101,57,60,19,62,89,192,304,432,460,598,715,727,731,743,773,717,743,601,422,528,359,292,9863,425,False,East,425,Dakota
"Jan 23, 2005",Sunday,212,125,91,44,31,35,65,112,217,358,482,613,725,713,729,745,739,707,590,511,411,324,180,129,8888,425,True,East,425,Dakota
"Jan 24, 2005",Monday,62,28,41,31,39,132,273,433,379,429,380,555,539,522,740,963,1265,1431,1094,696,555,432,257,140,11416,425,False,East,425,Dakota
"Jan 25, 2005",Tuesday,85,53,34,26,52,153,255,500,417,462,371,530,523,546,691,1014,1245,1423,1078,793,577,544,256,146,11774,425,False,East,425,Dakota
"Jan 26, 2005",Wednesday,97,52,41,29,51,130,288,486,391,474,374,514,529,507,699,956,1357,1491,1072,733,699,546,268,151,11935,425,False,East,425,Dakota
"Jan 27, 2005",Thursday,66,53,29,20,35,130,263,445,381,425,371,502,545,532,666,964,1267,1491,1016,688,618,500,270,178,11455,425,True,East,425,Dakota
"Jan 28, 2005",Friday,109,70,48,29,45,120,224,383,406,446,458,641,732,628,824,1073,1299,1293,931,673,470,604,424,330,12260,425,False,East,425,Dakota
"Jan 29, 2005",Saturday,181,111,78,48,38,45,118,180,380,503,603,755,765,791,765,788,909,860,754,574,445,521,353,279,10844,425,False,East,425,Dakota
"Jan 30, 2005",Sunday,209,109,102,55,28,35,72,102,219,363,467,597,721,738,765,826,794,754,654,491,417,309,175,112,9114,425,False,East,425,Dakota
"Jan 31, 2005",Monday,65,39,34,28,47,129,267,445,387,443,379,526,533,516,660,978,1278,1439,1071,737,594,456,231,129,11411,425,False,East,425,Dakota
"Jan 1, 2005",Saturday,244,198,132,73,34,54,77,113,240,347,439,608,627,592,530,530,489,362,406,249,209,203,142,124,7022,425,False,West,425,Dakota
"Jan 2, 2005",Sunday,62,40,31,35,23,63,81,133,275,391,654,781,723,679,527,690,680,589,495,392,315,264,172,98,8193,425,False,West,425,Dakota
"Jan 3, 2005",Monday,54,26,22,30,48,245,885,1355,780,738,599,599,684,618,668,765,801,795,733,549,398,310,228,100,12030,425,False,West,425,Dakota
"Jan 4, 2005",Tuesday,78,35,33,23,58,262,934,1341,885,646,480,524,592,559,615,695,764,833,780,596,417,347,198,90,11785,425,True,West,425,Dakota
"Jan 5, 2005",Wednesday,62,37,28,18,17,274,958,1440,923,686,539,560,569,567,602,709,810,863,792,649,415,355,232,99,12204,425,False,West,425,Dakota
"Jan 6, 2005",Thursday,40,34,36,14,54,237,740,1449,963,659,527,571,617,589,560,759,800,852,736,551,440,363,216,105,11912,425,False,West,425,Dakota
"Jan 7, 2005",Friday,53,58,28,28,58,225,905,1400,951,746,590,583,646,663,625,767,828,830,856,638,414,356,271,183,12702,425,False,West,425,Dakota
"Jan 8, 2005",Saturday,133,84,48,33,39,69,168,342,547,675,826,918,867,801,819,814,740,707,696,495,342,358,305,226,11052,425,False,West,425,Dakota
"Jan 9, 2005",Sunday,122,78,43,32,29,52,111,201,359,456,705,783,847,750,754,628,454,429,441,454,314,266,156,76,8540,425,False,West,425,Dakota
"Jan 10, 2005",Monday,54,20,19,23,56,276,960,1387,940,664,507,525,547,560,570,670,752,758,703,510,436,319,187,89,11532,425,True,West,425,Dakota
"Jan 11, 2005",Tuesday,54,30,23,38,71,280,1031,1454,922,696,529,545,571,560,610,791,869,780,837,610,456,355,212,87,12411,425,False,West,425,Dakota
"Jan 12, 2005",Wednesday,52,35,28,23,70,281,988,1409,903,687,511,582,617,568,602,697,801,841,717,551,431,336,221,92,12043,425,False,West,425,Dakota
"Jan 13, 2005",Thursday,57,40,31,26,67,290,942,1463,866,694,508,541,590,581,616,696,740,871,686,496,452,339,170,109,11871,425,False,West,425,Dakota
"Jan 14, 2005",Friday,61,37,31,24,62,238,867,1376,967,729,565,604,657,597,689,793,829,866,857,604,404,392,269,192,12710,425,True,West,425,Dakota
"Jan 15, 2005",Saturday,96,69,37,36,24,75,86,238,489,625,818,839,818,742,783,711,715,694,623,494,315,301,258,183,10069,425,False,West,425,Dakota
