DATE|DAY|1 am|2 am|3 am|4 am|5 am|6 am|7 am|8 am|9 am|10 am|11 am|Noon|1 pm|2 pm|3 pm|4 pm|5 pm|6 pm|7 pm|8 pm|9 pm|10 pm|11 pm|12 mid|TOTAL|Station number|Estimated|Direction
Jan 1, 2004|Thursday|436|361|227|170|122|168|250|213|317|377|581|754|876|1021|1106|1081|978|892|750|644|547|543|408|268|13090|103|False|North
Jan 2, 2004|Friday|161|127|82|97|121|337|853|1408|1112|1052|1238|1363|1537|1569|1615|1629|1599|1381|1162|713|641|586|538|391|21312|103|False|North
Jan 3, 2004|Saturday|262|162|133|113|103|172|317|402|548|736|973|1230|1121|1191|1167|1073|1024|1017|1081|769|537|561|542|368|15602|103|False|North
Jan 4, 2004|Sunday|235|162|118|80|69|136|231|199|377|549|730|816|919|891|906|953|1000|868|732|617|406|294|295|136|11719|103|False|North
Jan 5, 2004|Monday|111|67|61|72|126|425|1126|1824|1226|945|908|1035|1144|1174|1157|1321|1289|1038|717|523|442|397|371|213|17712|103|False|North
Jan 6, 2004|Tuesday|134|71|71|69|109|433|1151|1901|1423|961|914|1011|1042|1163|1201|1389|1388|996|929|542|484|497|428|244|18551|103|False|North
Jan 7, 2004|Wednesday|167|92|70|81|145|436|1274|2126|1393|1092|979|1108|1175|1211|1146|1355|1418|1193|873|599|595|467|449|270|19714|103|False|North
Jan 8, 2004|Thursday|170|120|84|90|131|431|1272|2179|1455|1108|1011|1094|1113|1214|1239|1512|1549|1300|930|777|558|527|473|248|20585|103|False|North
Jan 9, 2004|Friday|170|117|87|98|139|415|1175|2048|1424|1110|1103|1225|1229|1285|1556|1702|1775|1549|1440|961|832|772|590|463|23265|103|False|North
Jan 10, 2004|Saturday|263|184|127|108|95|176|398|497|811|1033|1230|1236|1304|1148|1216|1153|1114|1094|976|706|623|621|603|399|17115|103|False|North
Jan 11, 2004|Sunday|245|174|139|107|69|119|271|233|383|599|655|816|976|977|978|1007|969|861|700|609|492|480|380|201|12440|103|False|North
Jan 12, 2004|Monday|146|118|75|103|126|408|1172|2218|1387|1099|1042|1047|1207|1232|1265|1516|1412|1209|857|604|573|499|453|235|20003|103|False|North
Jan 13, 2004|Tuesday|133|116|69|87|127|505|1372|2279|1464|1187|1066|1124|1141|1166|1228|1371|1483|1267|985|710|637|525|454|173|20669|103|False|North
Jan 14, 2004|Wednesday|67|82|43|80|84|289|971|1831|1424|919|806|929|1001|1061|1164|1373|1421|1241|928|677|598|504|460|219|18172|103|False|North
Jan 15, 2004|Thursday|145|116|90|88|160|440|1287|2155|1416|1092|1003|1105|1127|1129|1262|1504|1458|1221|936|691|630|715|515|251|20536|103|False|North
Jan 16, 2004|Friday|164|134|91|87|149|380|1085|2045|1443|1109|1122|1348|1418|1414|1559|1860|1911|1792|1657|1175|1039|883|711|430|25006|103|True|North
Jan 17, 2004|Saturday|306|194|130|77|103|176|366|523|708|986|1127|1223|1279|1284|1204|1181|1222|1198|1227|778|696|563|559|320|17430|103|False|North
Jan 18, 2004|Sunday|272|172|141|76|73|133|224|258|393|578|676|894|1018|999|1041|968|1006|1023|800|648|561|547|364|228|13093|103|False|North
Jan 19, 2004|Monday|136|100|73|71|135|360|1056|1984|1360|1013|943|1062|1153|1109|1214|1407|1414|1160|885|590|509|460|432|231|18857|103|True|North
Jan 20, 2004|Tuesday|134|112|81|68|143|409|1156|2155|1478|1077|965|1034|1109|1113|1183|1364|1415|1220|956|650|575|511|457|245|19610|103|True|North
Jan 21, 2004|Wednesday|150|105|91|82|147|441|1218|2187|1622|1109|960|1119|994|1117|1117|1369|1354|1080|827|566|504|455|401|206|19221|103|False|North
Jan 22, 2004|Thursday|123|85|74|65|127|403|1114|2038|1274|974|862|982|992|1007|1140|1306|1407|1186|932|661|566|587|449|253|18607|103|False|North
Jan 23, 2004|Friday|147|131|89|98|151|404|1135|2092|1429|1057|1094|989|1241|1284|1519|1728|1793|1432|1382|855|767|784|594|393|22588|103|False|North
Jan 24, 2004|Saturday|242|175|137|102|116|170|387|535|801|905|1059|1171|1220|1160|1180|1108|1151|1074|1103|755|635|571|507|421|16685|103|False|North
Jan 25, 2004|Sunday|249|196|149|89|78|134|258|270|400|591|722|922|945|978|1040|913|800|756|666|552|342|236|174|100|11560|103|False|North
Jan 26, 2004|Monday|77|79|51|26|106|384|949|1415|1006|759|703|725|753|872|813|966|961|789|613|382|328|379|376|195|13707|103|False|North
